# product                 SHA1                                      Version                       
BUILD=b5801
afwdata                   294ccec69c8ab026b758a42557191ddc6c08b2df  22.0.0                                   
alert_packet              4f04a3420fc7f673e4cf1b64685a623dfbf10ec1  master-g4f04a3420f                       
ap_pipe_testdata          5887cb02c75af27fc14873fd2b97ac6ff6e4b4bb  22.0.0                                   
ap_verify_testdata        24c69b71f5af4b830d69995bdf83a158d22a7764  22.0.1-1-g24c69b7                        
eigen                     398bedf73421a204f5af0a73b4fe29513bf0f1cf  3.3.7.lsst2-1-g398bedf                   
fgcm                      93acbd907de6541c0ecea3ada05f1fec6a3f9968  lsst-dev-g93acbd907d                     
obs_decam_data            c3e517dea3e129286c4c244ab19216553b6754cc  22.0.0                                   
obs_lsst_data             bdb8a927be7854da614426be56425ca360b5564a  22.0.1-1-gbdb8a92                        
obs_subaru_data           2f68bc290627b1476393acd214c86a663ecbe048  22.0.0                                   
obs_test_data             86cffb07a861623a7d6dfa50fc06f4464f55743a  22.0.0                                   
proxmin                   79c049878343e03f030d423d5eca84c61cf578e7  lsst-dev-g79c0498783                     
sconsUtils                92998165e0c4bb5be7d458d311af30054d08595a  22.0.0-5-g9299816                        
sdm_schemas               743575b94f3bf9c657af83282df4391e303a1ef7  22.0.1-23-g743575b                       
testdata_cfht             a65e6c79fddcbd4ea52b5b037ae6250b145a86ca  22.0.0                                   
testdata_deblender        2cc488a7b8fb5b4a68d28dc0f7e2487656e953fb  22.0.0                                   
testdata_decam            4c8566d46baf5b96cc33bed92cbee3d06a40a337  22.0.0                                   
testdata_jointcal         7cf939d2c7b2657a1d21aca2708be5777cfc174d  22.0.0                                   
testdata_subaru           bf01ab0e167b4ff1776bed81439605785bd002dc  22.0.0                                   
validation_data_cfht      e74e1c8039631b2905b06fc4480a3acbb3d4a3bf  22.0.0                                   
validation_data_decam     617ce979104789d6f5835abb98e1e42ee93e9d70  22.0.0                                   
astshim                   45278abf610f9a7a7b3c196036ebd947350239c0  22.0.0+052faf71bd                        sconsUtils
base                      a9b0f51b18e88357090344f187ee0a3056b10922  22.0.1-2-ga9b0f51+052faf71bd             sconsUtils
dustmaps_cachedata        d5d683fb325c2522198be68c8b6af2cb112e17b7  22.0.0+052faf71bd                        sconsUtils
jointcal_cholmod          aea3fc061146b77b81e1cd10c0bad57c99e92e4e  master-gaea3fc0611+052faf71bd            sconsUtils
kht                       14ffe67dc213e67ddceddbca8aa16c8435674325  lsst-dev-g14ffe67dc2+fe93bf5141          eigen
psfex                     57437a15a7692a36fb9b6f02abddd16ce4a51df2  22.0.1-1-g57437a1+052faf71bd             sconsUtils
scarlet                   965bb5fbbf567aa5dac626ad343ccef168ebe0b2  lsst-dev-g965bb5fbbf+f31336177f          proxmin
sphgeom                   ac51dbfff83f90e0dd1d98b8bd4bd6016d80a258  22.0.1-2-gac51dbf+052faf71bd             sconsUtils
verify_metrics            6443fb00c40e49c8b18975384786a4a8a8d30fe3  22.0.1-3-g6443fb0+052faf71bd             sconsUtils
pex_exceptions            de069b70e5abe0cb21eda8786941313c025a7f21  22.0.0+7589c3a021                        base
scarlet_extensions        9d1858973594594d1fd70a257f99b89e77df79fc  lsst-dev-g9d18589735+5de2e29f4b          scarlet
cpputils                  6e05de7fdc869ca4707d956fd17b219f1f9d2f94  master-g6e05de7fdc+c1283a92b8            base,pex_exceptions
utils                     25fdfb98b492c52680fc23eb7d5f5c579f77d03a  22.0.1-8-g25fdfb9+7bff505259             cpputils,sconsUtils
daf_base                  15c806e14df929e0676fc2d14431ad321ac52290  22.0.1-5-g15c806e+3b697bc18e             utils,cpputils,pex_exceptions
daf_butler                ac63b1862508ff15b39a6f6be096f4af46b21807  22.0.1-84-gac63b186+1d2032976f           sphgeom,sconsUtils,utils
geom                      096abc94f838d2c640692e481dea462e1c34617c  22.0.1-5-g096abc9+1d2032976f             sconsUtils,sphgeom,pex_exceptions,utils,cpputils
log                       ba7369791174168e2f4059f312ac34ac2889635d  22.0.1-7-gba73697+3b697bc18e             base,sconsUtils,utils
astro_metadata_translator c2dde510d9bb45d1e60ff7412c1e651dcfeb32fe  0.1.0-26-gc2dde51+ddf9be2694             sconsUtils,daf_base
pex_config                87000a63fbe37efc59abb91dfe9546152493e012  22.0.1-1-g87000a6+ddf9be2694             daf_base
daf_persistence           243d05b06b5e4ef8d189c58c67eedbc3d5394bb9  22.0.1-4-g243d05b+ab903f4b89             utils,log,daf_base,pex_config
dax_apdb                  2c3f5acbff5a7fcd00b3421b88dcafb67e098ab4  22.0.1-4-g2c3f5ac+98d2fe5ef5             geom,daf_base,pex_config,sconsUtils,sphgeom,utils
afw                       00d26d63ac67461d163add4caadf5086625bd742  22.0.1-34-g00d26d63a+235905221a          daf_base,daf_persistence,pex_config,geom,log,sphgeom,utils,astshim,afwdata
ctrl_orca                 fca2c144ecc087adcb8d85fdc49de01609061a07  22.0.0+3136405720                        utils,pex_config,daf_persistence,log
cbp                       143869ca011ae75e8c6fa05981d5b320f1b45506  22.0.0+ffa0df7f73                        geom,sphgeom,afw
ctrl_execute              3d7e797ea635e006638799eec0ed81e728045e16  22.0.0+b4f97aae8e                        ctrl_orca,pex_config,utils
display_ds9               4a4ce7fc1dc003d9094f1be452a24dbe3dd823bf  22.0.0+ffa0df7f73                        afw
display_firefly           c6753737fee9ff589b32097b4aa23c3df6b7ce6c  22.0.0+ffa0df7f73                        afw,geom,log
display_matplotlib        fc62afb07263a0395e26f6830119d76e3e46b366  22.0.0+ffa0df7f73                        afw
pipe_base                 0f9608140823d3e9f5465d9ded2d237be9ccf9a3  22.0.1-28-g0f96081+97afde1630            daf_butler,daf_persistence,log,pex_config,utils,afw
shapelet                  8e32f31f9f1428f39a0f2122eb117ee0c489f719  22.0.1-1-g8e32f31+ffa0df7f73             afw,sconsUtils,geom
skymap                    037fbe16b56c91a32b84631f61f1a43e365a5431  22.0.1-4-g037fbe1+97afde1630             sphgeom,geom,afw,daf_butler
coadd_utils               7f82c8f19b2f30e66ea09e5d134dfa2e8f2de96b  22.0.0+4a756e6e24                        afw,log,pex_config,pipe_base,sconsUtils,utils,afwdata
ctrl_platform_lsstvc      181865cd7455bc37dded98f262c73c262a17cbcf  22.0.0+8ac7fbd9e3                        ctrl_execute
ctrl_pool                 92698f76a1a80b32e498c71c4166f3a2d58acb17  22.0.1-2-g92698f7+4a756e6e24             daf_persistence,pipe_base,log,utils
obs_base                  984b2ff2fde3294a0874bcb03edfe248ab6d4969  22.0.1-21-g984b2ff+056cc2c616            daf_base,log,daf_persistence,afw,utils,astro_metadata_translator,geom,daf_butler,pipe_base,skymap
verify                    07f67115b6daaccfe7c38626c82f3b30a5b38a1c  22.0.1-10-g07f6711+cee918f2aa            sconsUtils,utils,log,pex_config,daf_butler,pipe_base,dax_apdb,verify_metrics
ctrl_mpexec               dc29f139cd26742714ae4a0ad89bfad96a046024  22.0.1-26-gdc29f13+7985d038e8            daf_butler,obs_base,pex_config,pipe_base
meas_base                 126824a7096b21e4b07d883d2d8817d1dd9152e6  22.0.1-20-g126824a+acb1b13188            utils,geom,afw,skymap,coadd_utils,daf_base,sphgeom,pex_config,pipe_base,sconsUtils,cpputils,obs_base
obs_test                  747314e49367b19bd1384b39b09c05ba438c5c45  22.0.1-3-g747314e+5ef3e5ffdd             afw,daf_base,obs_base,pex_config,utils,obs_test_data,pipe_base
ctrl_bps                  a5152076307831349f8db89f994c2d8beea53ddd  22.0.1-31-ga515207+760c06c1f2            sconsUtils,utils,daf_butler,pipe_base,obs_base,ctrl_mpexec
meas_algorithms           3793161dcb63f809e21c98d4531f06c1c656638e  22.0.1-24-g3793161d+f9245b0dec           astshim,daf_base,daf_persistence,geom,afw,log,meas_base,obs_test,pex_config,pex_exceptions,pipe_base,sconsUtils,utils,cpputils
meas_extensions_simpleShape 103fe59d6fb4b205824659e17fc403ca0e010cd7  22.0.0+1ec1e1afc9                        sconsUtils,base,afw,meas_base,utils,pex_config,pex_exceptions,geom
meas_extensions_trailedSources f91b6b1793add5585d13d336423167f721a8468f  master-gf91b6b1793+1ec1e1afc9            base,afw,geom,pex_config,utils,cpputils,meas_base
ip_isr                    d7ec338831bb984416c878effc5e36ab568e6f46  22.0.1-21-gd7ec338+70f460067a            meas_algorithms,pipe_base,sconsUtils,afw,geom,utils,pex_exceptions
meas_astrom               bf906a77a5c10b7433833fdaa6b0565fc59ebf31  22.0.1-6-gbf906a7+70f460067a             geom,sphgeom,afw,log,meas_algorithms,pex_config,pipe_base,utils
meas_deblender            496fd5de666faf71a7cd38d9f2d8ed88f3154822  22.0.1-3-g496fd5d+f4594231d4             afw,log,meas_algorithms,sconsUtils,utils,testdata_deblender
meas_extensions_photometryKron 7d6de66fda6eedba8c41e603cab268f569d41f0b  22.0.1-1-g7d6de66+70f460067a             meas_base,meas_algorithms
