# product                 SHA1                                      Version                       
BUILD=b4645
throughputs               0b2113e40bcac204c41cb078a08931bd785c519d  2019.07.02-1-g0b2113e                    
afwdata                   d1c39c2f883e254a0e8fcd080721619ca496e1d3  19.0.0-1-gd1c39c2                        
libyaml                   fe04f4f6ffde41f44bfec6c6950136b4d224c8c9  0.1.7                                    
apr                       39b3212aa46217e4f485b02496381907da8b8d7a  1.5.2                                    
sims_skybrightness_data   01a98f80e09179c96976f9ae830fc07c22bca67d  2017.05.05-1-g01a98f8                    
sims_sed_library          bb8171e5dc4f77887b4dd14165df8f97fff51b8a  2017.01.24                               
minuit2                   dae2fb72f087c8d6dd1c4e0cfe8a828920f3412e  5.34.14                                  
gsl                       d1efc244ff2983d796a7f7bd2e0a89264f393b35  2.6                                      
starlink_ast              d6cc4e835a9437c4b59277a244e876fd49850cad  lsst-dev-gd6cc4e835a                     
doxygen                   524ee4ee18a8ea2be55a677f925dc1f92df1e323  1.8.13.lsst3                             
freetds                   158005830bde34bde7db91bbf1b812d67012f9e6  0.91.112.lsst2                           
testdata_deblender        76d7dc3446bdd13dbec01f3aa48771848b22ce3c  19.0.0                                   
apr_util                  78a90a1243a24ee961222bffa4b07d9033307fe4  1.5.4.lsst1                              apr
python                    85c3855c56fdbd3304bda946ee9f0899487c30f6  3.7                                      
ephem                     8f91afc3b39e4ab423d9b85ca9a41588741a2823  3.7.6.0+4                                python
fftw                      30c2cc419e7200314efbef8d0c432ac11e9d41be  3.3.4.lsst2                              
pykg_config               b05b21c61a90f39eda4b18d505b9fe841ce5f178  1.3.0+6                                  python
numpy                     36a8a3613488940afc4ac5a6049a34afb0f4c9cd  1.16.2                                   python
sims_maps                 4c12c2007f711be5db64520fd72451dbb6ef7c24  2017.05.08-3-g4c12c20+3                  numpy,python
sqlalchemy                a4144f10dbfe245b3bd105b9428b490b2367b94e  1.3.8                                    python
sims_data                 ca5d0e022c7167ef0e7ee216efcfa9b9b9d9cae7  2018.05.08                               
obs_test_data             b4dcb135d7fe475262c0b982b6f574d74ef90754  19.0.0                                   
log4cxx                   758b5a6065f42f957adbbc00074a300dac6131bc  0.10.0.lsst7+1                           apr,apr_util
astropy_helpers           c974185938af36d23b47ac12165a5256c8950145  3.0.2.lsst+3                             python,numpy
scons                     c2c3bc3800787922db0db035bad0ab347047ba88  3.0.0.lsst1+5                            python
esutil                    ba952dcc2743cf54e3ea8c44044d29978871f8c6  0.6.3                                    python,numpy
astropy                   5006c745bb1dd6a583acc34b11ea3986ca462b95  3.1.2.lsst2                              python
requests                  83cdaf189ad5e7f0f7805ba3104f4cf0c748d363  2.9.1.lsst1+6                            python
eigen                     221959b4fc8e4e2496cfbc875b457c3cf0f153d7  3.3.7                                    
scipy                     5722128f0573a5c8c70d4d13521152fc4aad04b9  1.2.1                                    python,numpy
cfitsio                   fc68e3c458900712f0b7938936ce70f46fa4ba7f  3360.lsst6                               
obs_lsst_data             ac8c27c4c23e16d1810f0071737ba296776fa35f  19.0.0-1-gac8c27c                        
healpy                    02b84608a1f56d77bef1d41cf6abbe7189276879  1.10.3.lsst2+5                           python,numpy,pykg_config,cfitsio,astropy
matplotlib                ce61d8e1aea9427809103534ca8387c00dc79de4  3.0.3                                    python,numpy
pyflakes                  b8a7d8b2ebb5710c044d1050e7cd5fba4372c5bb  2.1.0+2                                  python
python_psutil             b73e0d4a8e65584c763ceb04b9f3e3b5206ff8b6  5.4.3+4                                  python
pytest_session2file       c58ee1678f3d857602a6af30cc331913e41f667b  0.1.9-1-gc58ee16                         python
palpy                     8f3fcdb176c79aced1953296187ed79cdca82426  1.8.1+6                                  numpy,python
pybind11                  1e6abe836db51192b96b5c2ad8a5a1f42a229333  2.2.4.lsst1+2                            python,numpy,eigen
python_future             d45cc88dd170528ba3a61171a8a8f6eedd0d4fdc  0.16.0+5                                 python
lmfit                     0239b733156600f9ce4602ec7a1a266ee14856b0  0.9.3+11                                 python,numpy,scipy
pymssql                   02c450b095cda9e17f5425d9d05c4483169d95fc  2.1.1+10                                 python,freetds
python_mccabe             86ed08f574f8482e562f95e461fcf8a3ec561f00  0.6.1-1-g86ed08f                         python
sncosmo                   32d22753c0cc8cf28a27a23f44cfb86ad64e46b3  1.3.0.lsst2+4                            python,numpy,astropy,astropy_helpers
pycodestyle               0d131b0df8a8e973cb5162d8f589028249b0f3b7  2.5.0+2                                  python
boost                     7c78c5aa00ffd9eb34ccd55825605e04cab9c8ff  1.69.lsst1                               python
pyyaml                    a7699fc59fab93365d152e9fb5974073fc6e238e  5.1+2                                    python,libyaml
proxmin                   f7baf2a6dd8484a0f9097517890d03bb8b98e424  lsst-dev-gf7baf2a6dd                     numpy,scipy
ndarray                   8273558ad0155a96a3a3b8be89882c96678e5f55  1.5.3+2                                  boost,python,numpy,eigen,pybind11,fftw
autograd                  28954e82e0d76ec09f1970d8bd5e8518ed3e14fb  1.1.54170B                               numpy,scipy
scarlet                   169b417050aaea67c2b8c9a755e8017298b05816  lsst-dev-g169b417050                     pybind11,scipy,numpy,eigen,proxmin,autograd
coord                     331c46156e35dffbadd00f73bb1a53b59880635e  1.1.lsst+2                               python,numpy,python_future
galsim                    91a4abc9eae34e83d457be84e2c7a2266483e6e3  2.2.1.lsst+2                             scons,numpy,python_future,fftw,astropy,pybind11,eigen,coord
flake8                    1298ec5f4bac5e794a81816758b0fdfec29cb2fc  3.7.5+3                                  python,python_mccabe,pycodestyle,pyflakes
pep8_naming               e968bca498880c9571dc943a0b9a825eeab1ac33  0.8.2+3                                  python,flake8
pytest_flake8             8dd8c06520ce9a769d5fabb76d0b77e7d8d867c5  1.0.4-1-g8dd8c06                         python,flake8
sconsUtils                42516564a984c28774fbfeac9483dd7668ac985a  19.0.0                                   scons,pytest_flake8,pep8_naming,pytest_session2file,doxygen
base                      425ff20ead6cf76d607e761c240f64dab6f47e9f  19.0.0-1-g425ff20                        sconsUtils,pybind11,python,doxygen
astrometry_net_data       c676a60f6e5aa9d379e80e0da94207568274fbae  10.0-1-gc676a60+5                        sconsUtils
astshim                   a2c679d23199d2f0338a2b0884f894e363b737ef  19.0.0                                   sconsUtils,ndarray,numpy,starlink_ast,pybind11
verify_metrics            8efd64f9af59e8e6342bbf0c28d59adfcf5d20f1  19.0.0-1-g8efd64f                        sconsUtils
pex_exceptions            5315e5e727719a809d69d3fecc4ee95ecc8b1214  19.0.0+1                                 base,boost,pybind11,python
sphgeom                   5549ca46ee7ac2727962caa0b578589045194d67  19.0.0-1-g5549ca4                        base,sconsUtils,pybind11,doxygen
utils                     2d13df875c0b2b9201119a3b93b5a541415834fb  19.0.0-3-g2d13df8                        base,pex_exceptions,boost,numpy,pybind11,python,python_psutil
sims_survey_fields        1c3a41230679c4d6aa264953f1aaa77246c12316  2.6.0.sims+37                            numpy,python,utils
geom                      e3aa8530fdf7725033f50281bc66fe5d036b2058  19.0.0-1-ge3aa853                        boost,ndarray,sconsUtils,sphgeom,pex_exceptions,utils
log                       03d53ef8083cf25d560524726eea15af535ff53a  19.0.0+2                                 boost,log4cxx,base,pybind11,python,sconsUtils,utils
sims_almanac              420e492ac3a1a4d7de5887c5ccf2ca6316899760  master-g420e492ac3+8                     base,numpy,astropy,scipy,utils
daf_base                  68ffd23a201df9d8f8ace46df14039b339261ffa  19.0.0+2                                 utils,pex_exceptions,pybind11,python,numpy,pyyaml
sims_utils                2d90f6a012f1193fc3d396e0c162ad7391daca7e  2.13.0.sims-39-g2d90f6a+5                utils,python,python_future,palpy,astropy,healpy,sims_data
astro_metadata_translator af588435baf11c0eac0f3afd12ddacdf74090071  0.1.0-6-gaf58843                         scons,sconsUtils,pyyaml,astropy,daf_base
ts_dateloc                60a36c8d46cf5e93ce99006be98fed71e8f8e7ad  master-g60a36c8d46+31                    python,sims_utils,utils
pex_policy                0001055b1b1fa2ef014b1339320c240b84edeec5  19.0.0+2                                 daf_base,utils,pybind11,python
ts_observatory_model      3d307a5f454a4f538560db017b334a3e1e0295e6  master-g3d307a5f45+31                    python,ts_dateloc,utils
sims_photUtils            60d0775ed284616510941a071a10ce69b6f69020  2.13.0.sims-1-g60d0775+24                utils,sims_utils,python,throughputs,astropy
daf_persistence           6fe20d0c02ce2664b5d4b51dc34d34fc1ec7fdb0  19.0.0-1-g6fe20d0+1                      log,pex_policy,astropy,pyyaml,pybind11,python
pex_config                ae7742993c3fa92bf5ac1d9ab0c298c95e81930a  19.0.0+2                                 numpy,pybind11,python,daf_base,pex_policy
sims_skybrightness        79b6a57ccdcf91b82a7a81a1655ed54c295205f6  2.13.0.sims-2-g79b6a57                   base,numpy,matplotlib,ephem,sims_utils,sims_photUtils,utils,throughputs,sims_skybrightness_data,healpy,python_future
afw                       a671dab3bb04e9a9ffef08843edac8868e128064  19.0.0-4-ga671dab3b                      daf_base,daf_persistence,pex_config,geom,log,ndarray,cfitsio,numpy,minuit2,eigen,gsl,fftw,sphgeom,utils,astropy,pybind11,astshim,matplotlib,afwdata
dax_apdb                  e272bc47f0d7cfc3fab247ce37bf58029712b3f4  19.0.0-1-ge272bc4+5                      afw,pex_config,python,pyyaml,scons,sconsUtils,sphgeom,sqlalchemy,utils
daf_butler                19177482de383bac9bca21571445d9b469735a80  19.0.0-11-g1917748+1                     sphgeom,sqlalchemy,numpy,scons,sconsUtils,utils,astro_metadata_translator,geom,afw
sims_catalogs             0316a325b5cd6f608e9b6639058a2c75475299cf  2.13.0.sims-5-g0316a32+5                 daf_persistence,pymssql,python,sims_utils,sqlalchemy,utils
sims_skybrightness_pre    cc59254c51bddf65254730b189e65ffeaf49d6a9  2.13.0.sims-8-gcc59254+9                 numpy,healpy,sims_utils,sims_survey_fields,ephem,sims_skybrightness
sims_cloudModel           f8a474e6cc71b70949bf6117c3c7f20eac4fbaa8  master-gf8a474e6cc                       utils,pex_config,sims_utils
pipe_base                 fe96e6cdd1a36b2b67ddf83c8cf7d93cf2afaeb2  19.0.0-5-gfe96e6c+1                      daf_butler,daf_persistence,log,pex_config,utils,afw
coadd_utils               1349e88a9b8c98486c5498ba96472bab1ce3f7ef  19.0.0+9                                 afw,log,pybind11,numpy,pex_config,pipe_base,scons,sconsUtils,utils,afwdata
sims_downtimeModel        34f54b88507214ac78e3cd27773a80865d710456  master-g34f54b8850                       utils,pex_config
sims_seeingModel          65dd79f9003fe992753dc27670df9c6b3a891d4f  master-g65dd79f900                       utils,pex_config,sims_utils,throughputs,sims_photUtils
verify                    80cafe3c609d9ad662e0910dd7637d73479fb03f  19.0.0-9-g80cafe3+1                      astropy,pyyaml,requests,numpy,sconsUtils,utils,log,pex_config,daf_butler,pipe_base,dax_apdb,verify_metrics
skymap                    5f9922cabe11fbe5b490d9b5b963a23c658f15f2  19.0.0+8                                 numpy,sphgeom,geom,afw,daf_butler,healpy
