# product                 SHA1                                      Version                       
BUILD=b4587
minuit2                   dae2fb72f087c8d6dd1c4e0cfe8a828920f3412e  5.34.14                                  
fftw                      30c2cc419e7200314efbef8d0c432ac11e9d41be  3.3.4.lsst2                              
doxygen                   524ee4ee18a8ea2be55a677f925dc1f92df1e323  1.8.13.lsst3                             
testdata_deblender        76d7dc3446bdd13dbec01f3aa48771848b22ce3c  18.1.0                                   
apr                       39b3212aa46217e4f485b02496381907da8b8d7a  1.5.2                                    
freetds                   158005830bde34bde7db91bbf1b812d67012f9e6  0.91.112.lsst2                           
sims_sed_library          bb8171e5dc4f77887b4dd14165df8f97fff51b8a  2017.01.24                               
python                    85c3855c56fdbd3304bda946ee9f0899487c30f6  3.7                                      
sims_skybrightness_data   01a98f80e09179c96976f9ae830fc07c22bca67d  2017.05.05-1-g01a98f8                    
eigen                     221959b4fc8e4e2496cfbc875b457c3cf0f153d7  3.3.7                                    
obs_test_data             b4dcb135d7fe475262c0b982b6f574d74ef90754  master-gb4dcb135d7                       
obs_lsst_data             ff894085696836c9fb09a023e04c41019f52cfb1  master-gff89408569                       
scons                     c2c3bc3800787922db0db035bad0ab347047ba88  3.0.0.lsst1+5                            python
gsl                       d1efc244ff2983d796a7f7bd2e0a89264f393b35  2.6                                      
astropy                   b0b7760bd505a8167b507de06c871b84daf1b494  3.1.2                                    python
pymssql                   02c450b095cda9e17f5425d9d05c4483169d95fc  2.1.1+10                                 python,freetds
sqlalchemy                a4144f10dbfe245b3bd105b9428b490b2367b94e  1.3.8                                    python
cfitsio                   fc68e3c458900712f0b7938936ce70f46fa4ba7f  3360.lsst6                               
boost                     7c78c5aa00ffd9eb34ccd55825605e04cab9c8ff  1.69.lsst1                               python
libyaml                   fe04f4f6ffde41f44bfec6c6950136b4d224c8c9  0.1.7                                    
throughputs               0b2113e40bcac204c41cb078a08931bd785c519d  2019.07.02-1-g0b2113e                    
sims_data                 ca5d0e022c7167ef0e7ee216efcfa9b9b9d9cae7  2018.05.08                               
starlink_ast              d6cc4e835a9437c4b59277a244e876fd49850cad  lsst-dev-gd6cc4e835a                     
apr_util                  78a90a1243a24ee961222bffa4b07d9033307fe4  1.5.4.lsst1                              apr
numpy                     36a8a3613488940afc4ac5a6049a34afb0f4c9cd  1.16.2                                   python
pykg_config               b05b21c61a90f39eda4b18d505b9fe841ce5f178  1.3.0+6                                  python
python_psutil             b73e0d4a8e65584c763ceb04b9f3e3b5206ff8b6  5.4.3+4                                  python
pybind11                  1e6abe836db51192b96b5c2ad8a5a1f42a229333  2.2.4.lsst1+2                            python,numpy,eigen
matplotlib                ce61d8e1aea9427809103534ca8387c00dc79de4  3.0.3                                    python,numpy
healpy                    02b84608a1f56d77bef1d41cf6abbe7189276879  1.10.3.lsst2+3                           python,numpy,pykg_config,cfitsio,astropy
pytest_session2file       c58ee1678f3d857602a6af30cc331913e41f667b  0.1.9-1-gc58ee16                         python
pyyaml                    a7699fc59fab93365d152e9fb5974073fc6e238e  5.1+2                                    python,libyaml
pyflakes                  b8a7d8b2ebb5710c044d1050e7cd5fba4372c5bb  2.1.0+2                                  python
scipy                     5722128f0573a5c8c70d4d13521152fc4aad04b9  1.2.1                                    python,numpy
python_future             d45cc88dd170528ba3a61171a8a8f6eedd0d4fdc  0.16.0+5                                 python
ephem                     8f91afc3b39e4ab423d9b85ca9a41588741a2823  3.7.6.0+4                                python
requests                  83cdaf189ad5e7f0f7805ba3104f4cf0c748d363  2.9.1.lsst1+6                            python
proxmin                   f7baf2a6dd8484a0f9097517890d03bb8b98e424  lsst-dev-gf7baf2a6dd                     numpy,scipy
python_mccabe             86ed08f574f8482e562f95e461fcf8a3ec561f00  0.6.1-1-g86ed08f                         python
pycodestyle               0d131b0df8a8e973cb5162d8f589028249b0f3b7  2.5.0+2                                  python
ndarray                   8273558ad0155a96a3a3b8be89882c96678e5f55  1.5.3+2                                  boost,python,numpy,eigen,pybind11,fftw
log4cxx                   758b5a6065f42f957adbbc00074a300dac6131bc  0.10.0.lsst7+1                           apr,apr_util
esutil                    ba952dcc2743cf54e3ea8c44044d29978871f8c6  0.6.3                                    python,numpy
astropy_helpers           c974185938af36d23b47ac12165a5256c8950145  3.0.2.lsst+3                             python,numpy
palpy                     8f3fcdb176c79aced1953296187ed79cdca82426  1.8.1+6                                  numpy,python
flake8                    1298ec5f4bac5e794a81816758b0fdfec29cb2fc  3.7.5+3                                  python,python_mccabe,pycodestyle,pyflakes
autograd                  28954e82e0d76ec09f1970d8bd5e8518ed3e14fb  1.1.54170B                               numpy,scipy
sims_maps                 4c12c2007f711be5db64520fd72451dbb6ef7c24  2017.05.08-3-g4c12c20+3                  numpy,python
lmfit                     0239b733156600f9ce4602ec7a1a266ee14856b0  0.9.3+11                                 python,numpy,scipy
coord                     331c46156e35dffbadd00f73bb1a53b59880635e  1.1.lsst+2                               python,numpy,python_future
pytest_flake8             8dd8c06520ce9a769d5fabb76d0b77e7d8d867c5  1.0.4-1-g8dd8c06                         python,flake8
scarlet                   169b417050aaea67c2b8c9a755e8017298b05816  lsst-dev-g169b417050                     pybind11,scipy,numpy,eigen,proxmin,autograd
pep8_naming               e968bca498880c9571dc943a0b9a825eeab1ac33  0.8.2+3                                  python,flake8
sncosmo                   32d22753c0cc8cf28a27a23f44cfb86ad64e46b3  1.3.0.lsst2+3                            python,numpy,astropy,astropy_helpers
sconsUtils                42516564a984c28774fbfeac9483dd7668ac985a  18.1.0-5-g4251656                        scons,pytest_flake8,pep8_naming,pytest_session2file,doxygen
galsim                    91a4abc9eae34e83d457be84e2c7a2266483e6e3  2.2.1.lsst                               scons,numpy,python_future,fftw,astropy,pybind11,eigen,coord
base                      425ff20ead6cf76d607e761c240f64dab6f47e9f  18.1.0-2-g425ff20                        sconsUtils,pybind11,python,doxygen
afwdata                   e3096bf6d57a7154f22a38a09eba35aa91b54a6e  18.1.0+5                                 sconsUtils
astshim                   a2c679d23199d2f0338a2b0884f894e363b737ef  18.1.0-1-ga2c679d+1                      sconsUtils,ndarray,numpy,starlink_ast,pybind11
verify_metrics            872f9b593eec305ae4691dcea1e9d575c56f0011  18.1.0-2-g872f9b5+3                      sconsUtils
astrometry_net_data       c676a60f6e5aa9d379e80e0da94207568274fbae  10.0-1-gc676a60+4                        sconsUtils
sphgeom                   5549ca46ee7ac2727962caa0b578589045194d67  18.1.0-1-g5549ca4                        base,sconsUtils,pybind11,doxygen
pex_exceptions            5315e5e727719a809d69d3fecc4ee95ecc8b1214  18.1.0-1-g5315e5e+5                      base,boost,pybind11,python
utils                     49ebcafe0921ff436744ca2c32680a22c4f74e00  18.1.0-7-g49ebcaf                        base,pex_exceptions,boost,numpy,pybind11,python,python_psutil
