# product                 SHA1                                      Version                       
BUILD=b3783
minuit2                   dae2fb72f087c8d6dd1c4e0cfe8a828920f3412e  5.34.14                                  
fftw                      30c2cc419e7200314efbef8d0c432ac11e9d41be  3.3.4.lsst2                              
cfitsio                   f3986278b6dc7e897628a72bea8a211b8e833524  3360.lsst5                               
testdata_cfht             2bee09ef6fe206c85ef4c504c2f14afeef4acdd0  14.0                                     
doxygen                   75bf1144ea307806d65ecc1709226ca58866c1c4  1.8.13.lsst2                             
eigen                     c8ced58ce1fa144b84f38bd6a2da978d8242cb4c  3.3.4.lsst1                              
libyaml                   fe04f4f6ffde41f44bfec6c6950136b4d224c8c9  0.1.7                                    
python                    28a652d3d6b1665eb14b9465e11af08269e99fc6  0.0.8                                    
testdata_deblender        76d7dc3446bdd13dbec01f3aa48771848b22ce3c  16.0                                     
mpich                     39a8536fa6b7e33f4d775c6dc3b59a3d0bf04cb0  3.2.1                                    
python_future             d45cc88dd170528ba3a61171a8a8f6eedd0d4fdc  0.16.0+3                                 python
testdata_decam            dd95a3b756cb1b6af5108f06ed7d2afa9202a39a  14.0                                     
xpa                       eb35b1105c2a44557af660104f2807e2b28255dd  2.1.15.lsst3                             
pep8_naming               b6aae6642dff6400403e1b24945c6e157d30b7dc  0.4.1+3                                  python
pybind11                  67037972c04db3e5ad32eeaf00d34a72ec9c742a  2.2.3.lsst1                              
requests                  83cdaf189ad5e7f0f7805ba3104f4cf0c748d363  2.9.1.lsst1+4                            python
numpy                     85b095f6f8cb5a3cd462de8d5762304427b1b233  1.13.1+2                                 python
pyflakes                  2c8b201b94934f7fa7a3c7bff3d39731a7ac61aa  1.6.0+2                                  python
starlink_ast              d6cc4e835a9437c4b59277a244e876fd49850cad  lsst-dev-gd6cc4e835a                     
pyyaml                    3bcd4dccc5b99536f1d50e1a9026f982f74cb206  3.13                                     python,libyaml
sqlalchemy                17feb0b4fc40b855a9837d92f0866c50f1b56d0e  1.2.2+2                                  python
gsl                       b299622f4fcae00c4f1bdddcf05ccc6551b39440  2.4                                      
testdata_subaru           f61fcd2d64b7323c2f7aed34e3a45b2790a3a933  14.0                                     
python_coverage           6860bf36802129f59bca5f0c8185ca3190587f35  4.5.1                                    python
apr                       39b3212aa46217e4f485b02496381907da8b8d7a  1.5.2                                    
python_execnet            c0d69c65501b7cbf614e0059da7eb97f25b72518  1.4.1.lsst4+1                            python
ws4py                     5ea348065392f65a2029e86483a6abca75117cd5  0.4.2+3                                  python
wcslib                    373bd44add489cc091272d3393ae8d9857bcd34d  5.13.lsst1+2                             cfitsio
apr_util                  45d74ccc249484be4fdba93fe2f66aafb5869335  1.5.4                                    apr
pytest                    9c1788074e2c263ea418816d88f1c787c77946a7  3.2.0.lsst4+1                            python
treecorr                  2722dd9d8f0cb5c3df05f51e0f83eb751e6b0903  3.2.3.lsst3+3                            numpy,pyyaml
pykg_config               b05b21c61a90f39eda4b18d505b9fe841ce5f178  1.3.0+4                                  python
pycodestyle               cf95d84d724f579d1460dee026bf5a287b33bf04  2.3.1+3                                  python
astrometry_net            614c69fbd662f97a354ed1e69cc46b2c82f552a8  0.67.123ff3e.lsst1+8                     cfitsio,wcslib,gsl,numpy
scons                     c2c3bc3800787922db0db035bad0ab347047ba88  3.0.0.lsst1+3                            python
scipy                     aedd72728b314c7adcb2bc108d85b02a75efc322  0.0.1.lsst1+7                            python,numpy
pytest_forked             c5fda7b5f4bfa5927d31829ba3a5adb919645ef6  0.2.lsst4+1                              python,pytest
astropy                   4d079c1f2ee2e98c7771a0c61b15ffd17e211257  2.0.1+2                                  python
mpi                       6f350834c9ad5859cb069326232a27cdc6cfe17d  0.0.1+3                                  mpich
matplotlib                b4501be95a59aa8050fc6577f05cdf17be165b2d  2.0.2+2                                  python,numpy
pytest_cov                14fe2eda5c806cbe1b7336a444eb2ed25e124e87  2.5.1                                    python,pytest,python_coverage
python_psutil             b73e0d4a8e65584c763ceb04b9f3e3b5206ff8b6  5.4.3+2                                  python
esutil                    7cb0cf1c2fbb75c11a1c3c033fc4fa454b6b7470  0.6.2.5.lsst1+2                          python,numpy
healpy                    9cd97ef29430e2726f91482b83e132622762b0fd  1.10.3.lsst1+6                           python,numpy,pykg_config,cfitsio,astropy
boost                     c95036e05c29f825c366ecaa2ca50ab59fde8aca  1.68                                     python
pytest_xdist              a186ae77a9f6e991471d7f4003de959401946dcf  1.20.1.lsst4+1                           python,pytest,pytest_forked,python_execnet
proxmin                   87d7c0f1bbe5eb4f5a6783e01f00c95cd12ddcfe  lsst-dev-g87d7c0f1bb                     numpy,scipy
pytest_session2file       d5df8ace7d62308a5a692defccb5fdb7d5605152  0.1.9+9                                  python,pytest
mpi4py                    6dc1747acc237c28db2b50ad95dbbe8667395789  2.0.0+6                                  python,mpi
tmv                       906021b27ebd1b5f39ecc7272aeb34c4215fb358  0.73.lsst2+2                             scons
lmfit                     0239b733156600f9ce4602ec7a1a266ee14856b0  0.9.3+8                                  python,numpy,scipy
firefly_client            d3d76961fa68ca2dfdca85101ba4eace277ef338  lsst-dev-gd3d76961fa                     ws4py,python_future
python_mccabe             e8cfd9666d2bd843504181099c3b0d1e69a4ef62  0.6.1+9                                  python,pytest
flake8                    1dbac37b5a4210c753f7cadc257d02a7a55e337e  3.5.0+8                                  python,python_mccabe,pycodestyle,pyflakes,pep8_naming
log4cxx                   758b5a6065f42f957adbbc00074a300dac6131bc  0.10.0.lsst7                             apr,apr_util
ndarray                   b3fb59ae4e34a86aa2a1cfb81b1f5af2660c9842  1.5.1.lsst1+5                            boost,python,numpy,eigen,pybind11,fftw
scarlet                   fdfbe1c24037acfb2a9f7f87f3f505e4df92f041  lsst-dev-gfdfbe1c240+1                   pybind11,scipy,numpy,eigen,proxmin
pytest_flake8             4e9fb1f6078679e3ce100be8f76e8662dc5d5685  0.9.1+8                                  python,pytest,flake8
galsim                    d5e7736b6353cd266f91b369b6a2eb1d212aabbf  1.6.0.lsst2-1-gd5e7736+1                 numpy,python_future,boost,fftw,tmv,astropy
sconsUtils                a6f992eb2db606e7cab39c26a7db32a49995a723  16.0-5-ga6f992e                          scons,pytest,pytest_flake8,pytest_xdist,pytest_session2file,pytest_cov,doxygen
verify_metrics            16e3d1ca4a635d3a35cf7e63de994d8ed592e1fc  16.0-2-g16e3d1c+3                        sconsUtils
jointcal_cholmod          48cb81d1452d66b6f52c02d3f3ec9ea99b564915  master-g48cb81d145+44                    scons,sconsUtils
astrometry_net_data       eaffc02df2119a5f17862630057df8974f07ca23  8.0.0.0+40                               sconsUtils
base                      8e51203f9296d4ca8667111a389db04c2e4224fe  16.0-3-g8e51203                          sconsUtils,pybind11,python,doxygen
afwdata                   e3096bf6d57a7154f22a38a09eba35aa91b54a6e  16.0-1-ge3096bf+3                        sconsUtils
sphgeom                   5f3a788d9c46c2fd337a6f4130d5c46487de6c53  16.0-4-g5f3a788+5                        base,sconsUtils,pybind11,doxygen
pex_exceptions            f4e7cdd54eacfdc88da824a6c26e8da29a16e53d  16.0-2-gf4e7cdd+3                        base,boost,pybind11,python
psfex                     ee0c255054821e86103689bba663a75226793e5f  16.0+4                                   gsl,sconsUtils,fftw
astshim                   0febb12f172f6aa92958d4a456aa3fc7795f3087  16.0-2-g0febb12+5                        sconsUtils,ndarray,numpy,starlink_ast,pybind11
utils                     3610b4fc6a644118286de4bb76e2dfb2c6f4d5d5  16.0-6-g3610b4f+3                        base,pex_exceptions,boost,numpy,pybind11,python,python_psutil
log                       ce273f51342984d75b2b47da0de60efb5eb2c326  16.0-1-gce273f5+6                        boost,log4cxx,base,pybind11,python,sconsUtils,utils
geom                      80699e585fb0bd3758afe75490598d2403c8ecdf  16.0-8-g80699e5+1                        boost,ndarray,sconsUtils,sphgeom,pex_exceptions,utils
verify                    0ee5b77afa3e0ec86e0d8326c80faace492b724c  16.0-1-g0ee5b77+6                        python_future,pyyaml,requests,numpy,astropy,sconsUtils,utils,pex_exceptions,log,pytest_flake8,verify_metrics
daf_base                  50d071edccb46fc388ca6f676387ce40f81feca0  16.0-4-g50d071e+6                        utils,pex_exceptions,pybind11,python,numpy
pex_policy                f41ba6bb7f24429eb607a9101c0d0a05c310664c  16.0-2-gf41ba6b+3                        daf_base,utils,pybind11,python
daf_persistence           3806c63f90834607b630fc774f9f267444510539  16.0-3-g3806c63+6                        log,pex_policy,astropy,pyyaml,pybind11,python
pex_config                9645794ae45512275bbd3571f99ade6259e84983  16.0-3-g9645794+3                        daf_base,pex_policy,numpy,utils,pybind11,python
ctrl_orca                 9633d822c601c422e950248b046d35adba9f08aa  16.0-1-g9633d82+9                        python_future,utils,pex_policy,pex_config,daf_persistence,log
afw                       d4f695684df406c8d31d94ce0c589437b13b8e26  16.0-31-gd4f695684                       daf_base,daf_persistence,pex_config,geom,log,ndarray,cfitsio,numpy,minuit2,eigen,gsl,fftw,sphgeom,utils,astropy,pybind11,astshim,matplotlib,afwdata
ctrl_execute              c2b038a13c2772bc608ffd1cf80d146672464789  15.0+34                                  python_future,ctrl_orca,pex_config,utils
display_firefly           03cf288855deed6d7d3aedfddf06e06d647aa02c  16.0-4-g03cf288+5                        afw,log,firefly_client,python_future
display_matplotlib        cfd6c53fb2b2afaae4b6c783f7b86d332d41a7e9  16.0-3-gcfd6c53+14                       afw,matplotlib,python_future
ctrl_platform_lsstvc      3865e40c38abb347490c64d33ab2e0120dfaaa35  15.0+34                                  ctrl_execute
skymap                    6923fb6b8408e027fad0eb8087df54e72790d311  16.0-3-g6923fb6+9                        numpy,sphgeom,afw,healpy
daf_butler                de6ace3019f5befdba793f74a05c39a76c596694  master-gde6ace3019                       sphgeom,sqlalchemy,numpy,scons,sconsUtils,utils,daf_persistence,afw
obs_base                  fbb8ea776cf0a1cbc3180011ff5ade33c3784392  16.0-11-gfbb8ea7                         daf_base,log,pex_policy,daf_persistence,afw,astropy,utils,daf_butler
shapelet                  f0acd13e246ecb9c01539a9f8a569844a9f8d0f4  16.0-6-gf0acd13+8                        afw,numpy,scons,sconsUtils,pybind11,scipy
obs_test                  e3254b761bc060d3f4b3ee55bbedbecbd2c7ed3d  16.0-4-ge3254b7+8                        afw,daf_base,obs_base,pex_config,pex_policy,numpy,utils,astropy
display_ds9               9d5294e0e55208fb9c5d11dc0716d52959c879d6  16.0-2-g9d5294e+16                       afw,xpa,pybind11
pipe_base                 9fe0e56c23a0ff9dc0c233848667df811b904b9b  16.0-11-g9fe0e56+7                       daf_butler,daf_persistence,log,pex_config,utils,afw,obs_test
cp_pipe                   60afb23e41d70bc0a8625a4375dfe02416088242  16.0+32                                  pex_config,pipe_base,daf_base,log
ctrl_pool                 14407aa59e34dacdd86751ba7ce03d6d70b98c3d  16.0-1-g14407aa+17                       python_future,daf_persistence,pipe_base,log,utils,mpi4py
coadd_utils               8a0f11ad41700031c1f401767dc69b6fdc8006be  16.0-4-g8a0f11a+6                        afw,log,pybind11,numpy,pex_config,pipe_base,scons,sconsUtils,utils,afwdata
coadd_chisquared          839ba837ce4a9dc49a930c7af54f43f78ec67327  16.0-2-g839ba83+22                       coadd_utils,numpy,scons,sconsUtils,pybind11,afwdata
meas_base                 f9130ea85f963096e628fc4193a9b70b4db4408e  16.0-11-gf9130ea+15                      utils,geom,afw,coadd_utils,daf_base,sphgeom,numpy,pex_config,pipe_base,pybind11,scons,sconsUtils
meas_algorithms           0fce7516496e57430be195560563cc4cc95ae0b9  16.0-13-g0fce7516+2                      astshim,daf_base,daf_persistence,geom,afw,esutil,log,meas_base,obs_test,minuit2,numpy,pex_config,pex_exceptions,pex_policy,pipe_base,scons,sconsUtils,utils,pybind11
meas_extensions_simpleShape b3f8a4bae7472527b6ae8c4180753443f1554f94  16.0-5-gb3f8a4b+16                       scons,sconsUtils,base,numpy,pybind11,afw,meas_base,utils,pex_config,pex_exceptions
