# product                 SHA1                                      Version                       
BUILD=b5540
afwdata                   294ccec69c8ab026b758a42557191ddc6c08b2df  21.0.0-2-g294ccec                        
alert_packet              bd80f2fea6adf7b6422ea136fa3ef48ea7252c1a  master-gbd80f2fea6                       
ap_pipe_testdata          5887cb02c75af27fc14873fd2b97ac6ff6e4b4bb  21.0.0-2-g5887cb0                        
ap_verify_testdata        73447c0968141fe233e322d6828c18853c6bd2c0  21.0.0-5-g73447c0                        
eigen                     398bedf73421a204f5af0a73b4fe29513bf0f1cf  3.3.7.lsst2-1-g398bedf                   
fgcm                      f95ed4e222b155f6e67c2b5628b7a97163fff123  lsst-dev-gf95ed4e222                     
obs_decam_data            c3e517dea3e129286c4c244ab19216553b6754cc  21.0.0-2-gc3e517d                        
obs_lsst_data             7ccd7437d5e623a67da97dd70389f5e8e6203e2c  21.0.0-1-g7ccd743                        
obs_subaru_data           2f68bc290627b1476393acd214c86a663ecbe048  21.0.0-1-g2f68bc2                        
obs_test_data             86cffb07a861623a7d6dfa50fc06f4464f55743a  21.0.0-1-g86cffb0                        
proxmin                   79c049878343e03f030d423d5eca84c61cf578e7  lsst-dev-g79c0498783                     
sconsUtils                e0be3457b30cd34bc8be7b69cedc6b98a40a8048  21.0.0-11-ge0be345                       
testdata_cfht             a65e6c79fddcbd4ea52b5b037ae6250b145a86ca  21.0.0-1-ga65e6c7                        
testdata_deblender        2cc488a7b8fb5b4a68d28dc0f7e2487656e953fb  21.0.0-1-g2cc488a                        
testdata_decam            4c8566d46baf5b96cc33bed92cbee3d06a40a337  21.0.0-1-g4c8566d                        
testdata_jointcal         7cf939d2c7b2657a1d21aca2708be5777cfc174d  21.0.0-5-g7cf939d                        
testdata_subaru           bf01ab0e167b4ff1776bed81439605785bd002dc  21.0.0-1-gbf01ab0                        
validation_data_cfht      e74e1c8039631b2905b06fc4480a3acbb3d4a3bf  21.0.0-1-ge74e1c8                        
validation_data_decam     617ce979104789d6f5835abb98e1e42ee93e9d70  21.0.0-1-g617ce97                        
astshim                   45278abf610f9a7a7b3c196036ebd947350239c0  21.0.0-2-g45278ab+64c1bc5aa5             sconsUtils
base                      df92d54779ca9b5a170a682e625d80ef61461efb  21.0.0-7-gdf92d54+64c1bc5aa5             sconsUtils
dustmaps_cachedata        d5d683fb325c2522198be68c8b6af2cb112e17b7  master-gd5d683fb32+64c1bc5aa5            sconsUtils
jointcal_cholmod          aea3fc061146b77b81e1cd10c0bad57c99e92e4e  master-gaea3fc0611+64c1bc5aa5            sconsUtils
kht                       14ffe67dc213e67ddceddbca8aa16c8435674325  lsst-dev-g14ffe67dc2+fe93bf5141          eigen
psfex                     57437a15a7692a36fb9b6f02abddd16ce4a51df2  21.0.0-3-g57437a1+64c1bc5aa5             sconsUtils
scarlet                   965bb5fbbf567aa5dac626ad343ccef168ebe0b2  lsst-dev-g965bb5fbbf+f31336177f          proxmin
sdm_schemas               9566c5ada9e4ab62e270ede575d7ad2ae7232443  21.0.0-6-g9566c5a+64c1bc5aa5             sconsUtils
sphgeom                   8760c0928e93f2ae29745aa559aa3cf01d92f815  21.0.0-1-g8760c09+64c1bc5aa5             sconsUtils
verify_metrics            fc7673741d2795e112ede45b5c5ee777f7a9e239  21.0.0-2-gfc76737+64c1bc5aa5             sconsUtils
pex_exceptions            de069b70e5abe0cb21eda8786941313c025a7f21  21.0.0-2-gde069b7+4f46bdaea8             base
scarlet_extensions        9d1858973594594d1fd70a257f99b89e77df79fc  lsst-dev-g9d18589735+5de2e29f4b          scarlet
utils                     0bf70907a490d742c7bd7c0b5b300c6f0df6391b  21.0.0-6-g0bf7090+18535a8d22             base,pex_exceptions
daf_base                  1d5bd4a6899e04493fedffcecf6e450283fdbd07  21.0.0-4-g1d5bd4a+fdc5edd43f             utils,pex_exceptions
daf_butler                57da90f2b42f4d3bb2a1728d9d42e5aa5defa6a3  21.0.0-96-g57da90f2+7b9a448d34           sphgeom,sconsUtils,utils
