# product                 SHA1                                      Version                       
BUILD=b879
throughputs               a6e2efc0c9c01ca6c64016117a5e700cad356e0f  master-ga6e2efc0c9                       
eigen                     e7c2993de8c624e968067861b71e3f7787c8b387  3.2.0                                    
xpa                       37475053b1454edd07059ce496d2fd851ca0a448  master-g37475053b1                       
python                    259ae7060d5430926998615a42cf4b4c117a449e  master-g259ae7060d                       
swig                      ccf66d07ee20460f0eb3c396d8f04e5d5e249ee3  3.0.2.lsst1                              
doxygen                   16ba5fa702ef543facf1ab4530b6a436f20f8f8b  1.8.5                                    
sims_sed_library          7b2c9abf7cf0a849fb839e1aadc0af41a62882d3  2014.10.06                               
sims_data                 dac76d2d31a18efd420080cf729efcfc59b66910  master-gdac76d2d31                       
fftw                      79f7a23301533025fb1a46e9e8e60e565bdb8831  3.3.3                                    
pyephem                   2fa459bf78ce024ea022dfdeba525a395984f205  3.7.5.1.lsst1                            
cfitsio                   9799952d95ad6495ae9dac67c203ca9ec9369b1b  3360.lsst1                               
mysqlclient               b5244aa1cc5e692fdf2d47a301f9aa0b47cdbc83  5.1.73.lsst1                             
sims_dustmaps             9b0d0a937dab12efdb4a913bca8b4f0fb7c6d53c  master-g9b0d0a937d                       
palpy                     c3c882875a31772409948faf91ae83818ec6622b  1.6                                      python
scons                     04d5b3952f4eb952fc89f93b1da9aa716d2f8c69  2.3.0+2                                  python
sconsUtils                9a7533b2ae170c496ece776be872619dbdec36f4  master-g9a7533b2ae+1                     scons,doxygen
freetds                   65bec99c16438d2f7f679588754be8dc38cacf93  2014.04.07                               
boost                     52f51dfb325a3e133b19d1e7540b0c6236b8ed61  1.55.0.1.lsst2+1                         python
minuit2                   52671862e2092d512968e3b04e0699fdeb048f09  5.28.00                                  
base                      548d41d8ed999ad57d53ec2ad408c2ebf5b82cf5  master-g548d41d8ed+1                     boost,sconsUtils,swig,doxygen
pymssql                   b098d072cb0fc038983760d6937abc5ec88a6927  2.0.0+3                                  python,freetds
pykg_config               c4dd3b426d8c89d1abccbd64ed5e3e3ea4209f2f  1.2.0+3                                  python
mysqlpython               bd46a5f42237ae63804db3ad11256bb03e4667c8  1.2.3+14                                 python,mysqlclient
gsl                       5893b4178257989f858942330536d283762734ea  1.16.lsst1                               
pex_exceptions            c69578ece61dcd87f871ad7d67b7874261f33d94  10.0+4                                   base,boost,swig
wcslib                    98c01aeebcc86d55f6ceabbf0c5645632462d605  4.14+7                                   cfitsio
numpy                     e3014bbc3285368c8fb605a5225c1affc7fdd34f  0.0.1+3                                  python
astrometry_net_data       eaffc02df2119a5f17862630057df8974f07ca23  10.0+3                                   sconsUtils
astrometry_net            dee887dc5d6f335267d6188a4c1409cbd0724001  0.50.1+4                                 cfitsio,wcslib,gsl,numpy
utils                     64ff11fffbd9ace6e89318e28449c4ae6fa03b82  master-g64ff11fffb+1                     base,pex_exceptions,boost,numpy
afwdata                   66eca2ec1790974980055c02f0b75c84b11e37b3  10.0+3                                   sconsUtils
pyfits                    08519beb22c27656b9766f976d4cb58394d473b9  3.2.4.lsst1+1                            numpy
tmv                       e8c11c40122d7886ef4ce165355c67a3eef2e5cf  0.72.lsst1                               scons
healpy                    b92d2eae9efb6d8a72740fe17d024d430ddafd38  1.8.1+4                                  python,pykg_config,cfitsio,pyfits
geom                      e36792e6e9d9e1dba9c850006c7d1175100e0ab0  10.0+3                                   sconsUtils
matplotlib                a7cb3a7235886c474e242d3f89160e3865d2f008  0.0.1+3                                  python,numpy
ndarray                   7408a83a3aa3df1509bb22d61aa4438c65cef2b6  master-g7408a83a3a+1                     boost,python,numpy,eigen,base,swig,fftw
daf_base                  08e90f836b8160e654ca1b4aa413ae4a92c5998e  master-g08e90f836b                       utils,pex_exceptions
GalSim                    a001b1539b2ed32e67098ff2616555dd9d2b8ae5  1.2.lsst2                                numpy,pyfits,boost,fftw,tmv
