# product                 SHA1                                      Version                       
BUILD=b2900
cfitsio                   b56ecf282e296255677bc23bc742639d726270fa  3360.lsst4                               
minuit2                   dae2fb72f087c8d6dd1c4e0cfe8a828920f3412e  5.34.14                                  
eigen                     f9ab3d1eb4897e8741c1f5b1fd23413ef5055c5d  3.2.5.lsst2                              
apr                       39b3212aa46217e4f485b02496381907da8b8d7a  1.5.2                                    
swig                      bd8facb3e1fd5a433cb913c3f6e7f2c1f3d60dd5  3.0.10                                   
mariadbclient             ab9738f6e58fcd59008060fdfd96661bc8f584c8  10.1.21.lsst1                            
starlink_ast              c4be228eb6d383fda519e16377fde2236ae6a1b8  lsst-dev-gc4be228eb6                     
doxygen                   323f9952c1e0db0fb8ebb0317f69d4019bd38d88  1.8.5.lsst1                              
wcslib                    373bd44add489cc091272d3393ae8d9857bcd34d  5.13.lsst1                               cfitsio
fftw                      30c2cc419e7200314efbef8d0c432ac11e9d41be  3.3.4.lsst2                              
python                    8205f36db1fd6c18f0455c8c3da620d2f7b7d479  0.0.6                                    
python_d2to1              1893c8d187b8f73cc91f0cf6c97564d1635934a0  0.2.12.lsst2+1                           python
pybind11                  715ff27535186c4a78829a82a34488401d48f4b5  master-g715ff27535                       
numpy                     c1bdd73fbef02df5b68128b4c309be514756acb9  0.0.3+1                                  python
gsl                       a5b7ea77e0be9d4f91e1a71ec7b08db0bdbf6e58  1.16.lsst3                               
astrometry_net            614c69fbd662f97a354ed1e69cc46b2c82f552a8  0.67.123ff3e.lsst1+1                     cfitsio,wcslib,gsl,numpy
apr_util                  45d74ccc249484be4fdba93fe2f66aafb5869335  1.5.4                                    apr
sqlalchemy                af5a1cb44943d13994e80302426225e7069d8ed6  1.0.8.lsst3+3                            python
python_future             d45cc88dd170528ba3a61171a8a8f6eedd0d4fdc  0.16.0                                   python
python_psutil             11e66a19cedecba67caa0c08675b630e3806927a  4.1.0+3                                  python
matplotlib                d202e908f28541deeeb861c2b656d9d3f900db10  0.0.4                                    python,numpy
astropy                   47e80e26de26053521c607df82a3a4512572362b  0.0.1.lsst2+2                            python
python_mysqlclient        945460320056625993eb4e3de872c3f74db17537  1.3.7.lsst1+8                            python,mariadbclient
pyyaml                    cb5cda908acb5a4fe493b618f9519bb26f7b1275  3.11.lsst1+3                             python
pykg_config               b05b21c61a90f39eda4b18d505b9fe841ce5f178  1.3.0+1                                  python
flask                     f44895ae1750d69ddd6116721d00ec24477cf064  0.12                                     python
boost                     18cc8bacfbd8ac16a414ce6acb450e85ee174ca5  1.60.lsst1+1                             python
esutil                    49b0a12ac880c1b059d28c9f752fed0630ed2a12  0.6.0+1                                  python,numpy
stsci_distutils           4bba6935c89f769e59cec6780a68ba8509fccfb0  0.3.7.lsst1+2                            python_d2to1
scons                     28a8b6786a075b8eb74852989adbc6d2b6859815  2.5.0.lsst2+1                            python
scipy                     aedd72728b314c7adcb2bc108d85b02a75efc322  0.0.1.lsst1+3                            python,numpy
sconsUtils                a4b18189ccb5d6869c8bf366b12195cf347b4ac5  13.0-3-ga4b1818                          scons,doxygen
log4cxx                   758b5a6065f42f957adbbc00074a300dac6131bc  0.10.0.lsst7                             apr,apr_util
lmfit                     0239b733156600f9ce4602ec7a1a266ee14856b0  0.9.3+4                                  python,numpy,scipy
base                      0bde1de3e129245c47fa1bd5c7030fe6b058b9f4  13.0-4-g0bde1de                          sconsUtils,pybind11,python,python_future,doxygen
astrometry_net_data       eaffc02df2119a5f17862630057df8974f07ca23  10.0+92                                  sconsUtils
afwdata                   1546c47f6745f6df266a0b5d994facf44e9f631a  13.0-1-g1546c47+2                        sconsUtils
pex_exceptions            52a7baa2f82bd1e67b92fcfff02b44c319acf2d4  13.0-1-g52a7baa+3                        base,boost,pybind11,python,python_future
ndarray                   4a984de6cd49d52ecf4010f8f61ae4a7d88f39e2  1.3.0-1-g4a984de+1                       boost,python,numpy,eigen,swig,pybind11,fftw
pyfits                    40c72f9bf25b2240d7b1b6b5b6547a451ab78a28  3.4.0+7                                  numpy,python_d2to1,stsci_distutils
astshim                   b637561bb90fc10ab0a0ba1041e01eadffa7fdfc  master-gb637561bb9                       sconsUtils,ndarray,numpy,starlink_ast,pybind11
healpy                    d4cac0b74d707cc97b912fa01d6d2c0d9c9eb947  1.8.1.lsst2+5                            python,numpy,pykg_config,cfitsio,pyfits
dax_webservcommon         29f49bca873b8a563bcf5ea660731fd3007ecbe4  12.1+6                                   python,scons,sconsUtils
utils                     976b40bd66e8f3cb673f90467733b8f8263fa64c  13.0-1-g976b40b+3                        base,pex_exceptions,boost,numpy,pybind11,python,python_psutil,python_future
log                       15de9a135e49deb72a851650bd32bcb15f941e06  13.0-2-g15de9a1+3                        boost,log4cxx,base,pybind11,python,sconsUtils,utils
geom                      4cdfb8d9bada718495719d3880ddb9b5e89eaddc  12.1+25                                  sconsUtils,python_future,utils
daf_base                  174df6e73597473f3d221c9a04786c52b7074b0a  13.0-1-g174df6e+3                        utils,pex_exceptions,pybind11,python,numpy,python_future
db                        ccab445e4b7272205e619fa3247b47d443d7f2cb  13.0+7                                   log,python,python_future,mariadbclient,python_mysqlclient,sconsUtils,sqlalchemy
dax_dbserv                80a862c00f26406836ea3a0a0b25233367cb1867  12.1-3-g80a862c+2                        dax_webservcommon,db,flask,log,python,python_mysqlclient,scons,sconsUtils,sqlalchemy
pex_policy                47a359cbccd4e3f51580cd0a7ea56e4d68d65593  13.0-1-g47a359c+3                        daf_base,utils,python_future,pybind11,python
pex_config                41367f3050663a0057f96ca489e5323f05f3720b  13.0-1-g41367f3+3                        daf_base,pex_policy,numpy,utils,python_future,pybind11,python
dax_metaserv              b1f0c8884c2dab81fc4201553a7df05cac1c287a  12.1-3-gb1f0c88                          dax_webservcommon,db,flask,python,python_mysqlclient,scons,sconsUtils,sqlalchemy
daf_persistence           9593caade30d1386c804c4cceee2458de6e81002  13.0-7-g9593caa                          log,mariadbclient,pex_policy,astropy,pyyaml,pybind11,python
afw                       57bcdd8e7b58b6570f0f9b0a92ef6366516cfae4  13.0-32-g57bcdd8                         daf_base,daf_persistence,pex_config,log,ndarray,cfitsio,wcslib,numpy,minuit2,eigen,gsl,fftw,utils,astropy,python_future,log,pybind11,astshim,pyfits,matplotlib,afwdata
skypix                    e22e12b93ce3a4b8e4c0e804e428c39c3ebee1f0  13.0+29                                  utils,pex_policy,geom,afw,python_future,sconsUtils
skymap                    f9e84ea9320988f1e3eaf9a668baed04d547a945  13.0-2-gf9e84ea+4                        numpy,afw,healpy
obs_base                  dd29b46197554e0a027fee66097c8a6c0dc34cd7  13.0-13-gdd29b46+4                       daf_base,log,pex_policy,daf_persistence,afw,skypix,pyfits,utils
obs_test                  7b63e3f6d6351cdaece0dc54afd2f46f717e13ba  13.0-6-g7b63e3f+5                        afw,daf_base,obs_base,pex_config,pex_policy,numpy,skypix,utils,python_future
pipe_base                 7fa07e057d469c3a7cd3ce518ec1956e7829af29  13.0-3-g7fa07e0+3                        daf_persistence,log,pex_config,utils,afw,python_future,obs_test
coadd_utils               f5c5cedf8b11b3451bf294332e3a61655c63d654  13.0-2-gf5c5ced+5                        afw,log,pybind11,numpy,pex_config,pipe_base,scons,sconsUtils,utils,python_future,afwdata
coadd_chisquared          a4f5e85f51f2b10c2347f9eb961cb5bd5146645c  13.0-2-ga4f5e85+5                        coadd_utils,numpy,scons,sconsUtils,python_future,pybind11,afwdata
meas_base                 d567ba6d7b0c1cecf528903c4df55515f01f11bc  13.0-11-gd567ba6                         python_future,utils,afw,coadd_utils,daf_base,geom,numpy,pex_config,pipe_base,pybind11,scons,sconsUtils
