# product                 SHA1                                      Version                       
BUILD=b6592
afwdata                   294ccec69c8ab026b758a42557191ddc6c08b2df  g294ccec69c                              
alert_packet              253cf13876e1bbbffc009f0036d1d7813d99a33b  g253cf13876                              
ap_verify_testdata        78e40310de2355afa0f36fefbe92037ecc28e7b2  g78e40310de                              
fgcm                      44b02c5bfe795315e7081c8e8547454a6c293007  g44b02c5bfe                              
gbdes                     fbcbe609a68e2131b5661e1f5f0e95ce92c95417  gfbcbe609a6                              
kht                       afcb7142decdb77911b08be3ee495256b2f19ed3  gafcb7142de                              
obs_decam_data            5c2865164705fa5b5f63b114779349165c0ebb73  g5c28651647                              
obs_lsst_data             fa6a74c03c49e6e7a4ec75ac2e13b93e71b6d2f0  gfa6a74c03c                              
obs_subaru_data           2f68bc290627b1476393acd214c86a663ecbe048  g2f68bc2906                              
proxmin                   33b4157f2516bd8c00926329f87583cee3ef3f95  g33b4157f25                              
sconsUtils                f2e9181d9f49aafd7607695a64e67da1209d4de6  gf2e9181d9f                              
sdm_schemas               d24acf03b800aaf266734ff85b381c8a58b15f95  gd24acf03b8                              
spectractor               2b248403bbfab1c4b025813ca51fbda0dcd67b64  g2b248403bb                              
testdata_cfht             a65e6c79fddcbd4ea52b5b037ae6250b145a86ca  ga65e6c79fd                              
testdata_deblender        2cc488a7b8fb5b4a68d28dc0f7e2487656e953fb  g2cc488a7b8                              
testdata_decam            58f1a8047b60983aa9d535ea495bf08f4066983f  g58f1a8047b                              
testdata_jointcal         4cc6aefee6912d28d3315c470e29ad1712710e94  g4cc6aefee6                              
testdata_subaru           bf01ab0e167b4ff1776bed81439605785bd002dc  gbf01ab0e16                              
base                      2d94c5dfbc5a14a5f97e553a35b58bb276c73787  g2d94c5dfbc+f0a1800e64                   sconsUtils
dustmaps_cachedata        41a3ec361e020feb5d91f4807f97f14fa40a6ae7  g41a3ec361e+f0a1800e64                   sconsUtils
felis                     a0e8f0e6b601aa2f4eac97b50aa3d957f29e26d2  ga0e8f0e6b6+f0a1800e64                   sconsUtils
jointcal_cholmod          a68e3ac08d36abf77e36a1698a9bc9766cafd394  ga68e3ac08d+f0a1800e64                   sconsUtils
psfex                     57437a15a7692a36fb9b6f02abddd16ce4a51df2  g57437a15a7+f0a1800e64                   sconsUtils
scarlet                   8139a818843fb86491ca39ecd076b5b4526ebf12  g8139a81884+4083830bf8                   proxmin
sphgeom                   d5d1ca8e18624e27df8c9a4d5202fc12cff231ab  gd5d1ca8e18+f0a1800e64                   sconsUtils
utils                     c9b3637a4ee47135e483b66bbd48c0742cf5d511  gc9b3637a4e+f0a1800e64                   sconsUtils
verify_metrics            0ec0de0e7f9cafd977210952a2602fdc29799b14  g0ec0de0e7f+f0a1800e64                   sconsUtils
daf_relation              e93f3dc7c5d6a553870697a4995a186913d4a0e9  ge93f3dc7c5+875d05fd7a                   sconsUtils,utils
log                       84791302955968912895f62cce5f5c7ef3e15ac4  g8479130295+875d05fd7a                   sconsUtils,utils
pex_exceptions            131b30d9541776369f635476eec2df971d6f62eb  g131b30d954+32ba1dfaa2                   base
resources                 aebfb71d08938793f60c8b93eb2cccad49aa50a6  gaebfb71d08+875d05fd7a                   sconsUtils,utils
scarlet_extensions        9d1858973594594d1fd70a257f99b89e77df79fc  g9d18589735+87f79c168d                   scarlet
cpputils                  4e8ce4af8a41a69b727f53341a5630b7d32c3f46  g4e8ce4af8a+bd8e3684b0                   base,pex_exceptions
daf_butler                220d52816aa80f839b5059036c7cdcc4b9f0b182  g220d52816a+a8cb4d73b3                   sphgeom,sconsUtils,utils,resources,daf_relation
astshim                   1011452fe8f0a22056801feb92c6764500b809a0  g1011452fe8+d885b47780                   sconsUtils,cpputils
daf_base                  3a7e09fba3a32ec4d5dcd031e9f3cead4e74d776  g3a7e09fba3+03f65a79c8                   utils,cpputils,pex_exceptions,base
geom                      3f8e1907dcfb984df91df8f801d533281e638a6b  g3f8e1907dc+4d95831733                   sconsUtils,sphgeom,pex_exceptions,utils,cpputils
astro_metadata_translator d0d831f19f4b0d1065919f26c002e711847c3452  gd0d831f19f+c8fd28db85                   sconsUtils,daf_base
pex_config                9c140cc3540f2cc0fe7c789c3fd61c464d2f6557  g9c140cc354+c8fd28db85                   daf_base
afw                       1b7e58284d16eebfb39e61745b8264c6807bf119  g1b7e58284d+7dcd958d67                   daf_base,pex_config,geom,log,sphgeom,utils,astshim,base,cpputils,afwdata
ctrl_execute              e669a28161ad77f1df44829cbb46fcdadc091cc1  ge669a28161+2ac6e901d1                   pex_config,utils
dax_apdb                  bebdf9febd3772d895f4356ec4a50b3e577b9cd7  gbebdf9febd+5aaa5b91df                   felis,geom,daf_base,pex_config,sconsUtils,sdm_schemas,sphgeom,utils
pipe_base                 110985a4224523062b7f61faa37a51c2667a1117  g110985a422+d4726dcb06                   daf_butler,pex_config,utils,resources
cbp                       7177720bbd30ea1a85d2c280c564d4890baa7df5  g7177720bbd+3fd5326ee8                   geom,sphgeom,afw
coadd_utils               67c5445c93e5f9e4eed895933ea2350a71bfbcff  g67c5445c93+3fd5326ee8                   afw,log,sconsUtils,utils,afwdata,pex_config
ctrl_mpexec               bb2d21288f57880f232d33dc238b1af9477b8361  gbb2d21288f+c45280bccf                   daf_butler,pex_config,pipe_base,utils
ctrl_platform_s3df        812366543b316b8ed71aedf2d79867069213b87a  g812366543b+41eca5337a                   sconsUtils,ctrl_execute
display_astrowidgets      004951d620ba2ce2abe2bbb8afb8b6be09a6275c  g004951d620+3fd5326ee8                   base,afw
display_ds9               0530b470b1c0dfe050e5ac1f92c5fd7dd3d2e6f3  g0530b470b1+3fd5326ee8                   afw
display_firefly           d630573b98fc80e8a5ea59c1e91a7869bcb421d6  gd630573b98+3fd5326ee8                   afw,geom,log
display_matplotlib        2adfe936b58c66d2db6a6c355cae3208c9579374  g2adfe936b5+3fd5326ee8                   afw
obs_base                  9df4c5b84417cfedaa485dffb236ef041bfcc93e  g9df4c5b844+653af59ce0                   utils,daf_butler,pipe_base,resources,astro_metadata_translator,pex_config,daf_base,afw,geom,pex_exceptions,log
shapelet                  d4112516d06266253d7bcff8f368ac817e4f4f76  gd4112516d0+3fd5326ee8                   afw,sconsUtils,geom
skymap                    21cc1f95c576d3d914630469f22055121b656660  g21cc1f95c5+a8c2d5f114                   sphgeom,geom,afw,daf_butler
verify                    914d93aa998b7de9396e06d7c3a0296b703b2f19  g914d93aa99+9be00bb95c                   sconsUtils,utils,pex_config,daf_butler,pipe_base,dax_apdb,afw,verify_metrics
ctrl_bps                  c8b3f040790eeef3a69d945d0a186a15be3310f7  gc8b3f04079+22243de02d                   sconsUtils,utils,daf_butler,pipe_base,resources,ctrl_mpexec
meas_base                 45630d09ed237b6ecf25e1d9ec3b4a4ae9a506e5  g45630d09ed+4a26b14194                   utils,geom,afw,skymap,daf_base,sphgeom,pex_config,pipe_base,sconsUtils,cpputils,obs_base
ctrl_bps_htcondor         6c54cfcf07a727b3e7fad0378dbf536f07e8152a  g6c54cfcf07+a877143cc5                   sconsUtils,ctrl_bps,utils
ctrl_bps_panda            8412604788b80fd6223e3258dfae09716617d078  g8412604788+a877143cc5                   sconsUtils,ctrl_bps,daf_butler,resources,utils
ctrl_bps_parsl            5198779c74f7fd549a995de47d1b6ceefb8c5774  g5198779c74+a877143cc5                   ctrl_bps,utils
meas_algorithms           a2680a8a4999dab00a0ef7e7c8b3961f412ef940  ga2680a8a49+85b55d1f12                   astshim,daf_base,geom,afw,log,meas_base,pex_config,pex_exceptions,pipe_base,sconsUtils,utils,cpputils
