# product                 SHA1                                      Version                       
BUILD=b5776
afwdata                   294ccec69c8ab026b758a42557191ddc6c08b2df  22.0.0                                   
alert_packet              4f04a3420fc7f673e4cf1b64685a623dfbf10ec1  master-g4f04a3420f                       
ap_pipe_testdata          5887cb02c75af27fc14873fd2b97ac6ff6e4b4bb  22.0.0                                   
ap_verify_testdata        73447c0968141fe233e322d6828c18853c6bd2c0  22.0.0                                   
eigen                     398bedf73421a204f5af0a73b4fe29513bf0f1cf  3.3.7.lsst2-1-g398bedf                   
fgcm                      93acbd907de6541c0ecea3ada05f1fec6a3f9968  lsst-dev-g93acbd907d                     
obs_decam_data            c3e517dea3e129286c4c244ab19216553b6754cc  22.0.0                                   
obs_lsst_data             bdb8a927be7854da614426be56425ca360b5564a  22.0.1-1-gbdb8a92                        
obs_subaru_data           2f68bc290627b1476393acd214c86a663ecbe048  22.0.0                                   
obs_test_data             86cffb07a861623a7d6dfa50fc06f4464f55743a  22.0.0                                   
proxmin                   79c049878343e03f030d423d5eca84c61cf578e7  lsst-dev-g79c0498783                     
sconsUtils                92998165e0c4bb5be7d458d311af30054d08595a  22.0.0-5-g9299816                        
testdata_cfht             a65e6c79fddcbd4ea52b5b037ae6250b145a86ca  22.0.0                                   
testdata_deblender        2cc488a7b8fb5b4a68d28dc0f7e2487656e953fb  22.0.0                                   
testdata_decam            4c8566d46baf5b96cc33bed92cbee3d06a40a337  22.0.0                                   
testdata_jointcal         7cf939d2c7b2657a1d21aca2708be5777cfc174d  22.0.0                                   
testdata_subaru           bf01ab0e167b4ff1776bed81439605785bd002dc  22.0.0                                   
validation_data_cfht      e74e1c8039631b2905b06fc4480a3acbb3d4a3bf  22.0.0                                   
validation_data_decam     617ce979104789d6f5835abb98e1e42ee93e9d70  22.0.0                                   
astshim                   45278abf610f9a7a7b3c196036ebd947350239c0  22.0.0+052faf71bd                        sconsUtils
base                      a9b0f51b18e88357090344f187ee0a3056b10922  22.0.1-2-ga9b0f51+052faf71bd             sconsUtils
dustmaps_cachedata        d5d683fb325c2522198be68c8b6af2cb112e17b7  22.0.0+052faf71bd                        sconsUtils
jointcal_cholmod          aea3fc061146b77b81e1cd10c0bad57c99e92e4e  master-gaea3fc0611+052faf71bd            sconsUtils
kht                       14ffe67dc213e67ddceddbca8aa16c8435674325  lsst-dev-g14ffe67dc2+fe93bf5141          eigen
psfex                     57437a15a7692a36fb9b6f02abddd16ce4a51df2  22.0.1-1-g57437a1+052faf71bd             sconsUtils
scarlet                   965bb5fbbf567aa5dac626ad343ccef168ebe0b2  lsst-dev-g965bb5fbbf+f31336177f          proxmin
sdm_schemas               5f3fa6e7327b129160f8ce239fbf7af5d3a3ef6f  22.0.1-18-g5f3fa6e+052faf71bd            sconsUtils
sphgeom                   ac51dbfff83f90e0dd1d98b8bd4bd6016d80a258  22.0.1-2-gac51dbf+052faf71bd             sconsUtils
verify_metrics            7e9ec59cc14899e47691a60bbba640b47d328398  22.0.1-2-g7e9ec59+052faf71bd             sconsUtils
pex_exceptions            de069b70e5abe0cb21eda8786941313c025a7f21  22.0.0+7589c3a021                        base
scarlet_extensions        9d1858973594594d1fd70a257f99b89e77df79fc  lsst-dev-g9d18589735+5de2e29f4b          scarlet
cpputils                  6e05de7fdc869ca4707d956fd17b219f1f9d2f94  master-g6e05de7fdc+c1283a92b8            base,pex_exceptions
utils                     336def89a878a108591d047d940461be40c62e15  22.0.1-6-g336def8+7bff505259             cpputils,sconsUtils
daf_base                  15c806e14df929e0676fc2d14431ad321ac52290  22.0.1-5-g15c806e+57f5c03693             utils,cpputils,pex_exceptions
daf_butler                448dc30bdfe9057f7815b69a8f8121bb80a2df04  22.0.1-78-g448dc30b+d18c45d440           sphgeom,sconsUtils,utils
geom                      096abc94f838d2c640692e481dea462e1c34617c  22.0.1-5-g096abc9+d18c45d440             sconsUtils,sphgeom,pex_exceptions,utils,cpputils
log                       ba7369791174168e2f4059f312ac34ac2889635d  22.0.1-7-gba73697+57f5c03693             base,sconsUtils,utils
astro_metadata_translator c2dde510d9bb45d1e60ff7412c1e651dcfeb32fe  0.1.0-26-gc2dde51+536b1ee016             sconsUtils,daf_base
daf_persistence           aaec9c0f9d3895a6c6cd315b299d5285631e5d9f  22.0.1-3-gaaec9c0+c5c846a8b1             utils,log,daf_base
pex_config                87000a63fbe37efc59abb91dfe9546152493e012  22.0.1-1-g87000a6+536b1ee016             daf_base
afw                       5ddfab5d3cdd383a7e0374f7cb2102dbf91e19da  22.0.1-32-g5ddfab5d3+60ce4897b0          daf_base,daf_persistence,pex_config,geom,log,sphgeom,utils,astshim,afwdata
ctrl_orca                 fca2c144ecc087adcb8d85fdc49de01609061a07  22.0.0+45564cfece                        utils,pex_config,daf_persistence,log
cbp                       143869ca011ae75e8c6fa05981d5b320f1b45506  22.0.0+6312710a6c                        geom,sphgeom,afw
ctrl_execute              3d7e797ea635e006638799eec0ed81e728045e16  22.0.0+6023b37f30                        ctrl_orca,pex_config,utils
dax_apdb                  b66926d50d58e9837c6e2c1943f66551c94e7767  22.0.1-2-gb66926d+6312710a6c             afw,pex_config,sconsUtils,sphgeom,utils
display_ds9               4a4ce7fc1dc003d9094f1be452a24dbe3dd823bf  22.0.0+6312710a6c                        afw
display_firefly           c6753737fee9ff589b32097b4aa23c3df6b7ce6c  22.0.0+6312710a6c                        afw,geom,log
display_matplotlib        fc62afb07263a0395e26f6830119d76e3e46b366  22.0.0+6312710a6c                        afw
pipe_base                 96539fe8ce70d2f12c968b2dd888546c4010c0b1  22.0.1-25-g96539fe+fabaf5806b            daf_butler,daf_persistence,log,pex_config,utils,afw
shapelet                  8e32f31f9f1428f39a0f2122eb117ee0c489f719  22.0.1-1-g8e32f31+6312710a6c             afw,sconsUtils,geom
skymap                    037fbe16b56c91a32b84631f61f1a43e365a5431  22.0.1-4-g037fbe1+fabaf5806b             sphgeom,geom,afw,daf_butler
coadd_utils               7f82c8f19b2f30e66ea09e5d134dfa2e8f2de96b  22.0.0+fd288a61f1                        afw,log,pex_config,pipe_base,sconsUtils,utils,afwdata
ctrl_platform_lsstvc      181865cd7455bc37dded98f262c73c262a17cbcf  22.0.0+a4ede38f76                        ctrl_execute
ctrl_pool                 92698f76a1a80b32e498c71c4166f3a2d58acb17  22.0.1-2-g92698f7+fd288a61f1             daf_persistence,pipe_base,log,utils
obs_base                  59bf8978fa642a6f3ca3f6db606aa853893c7e6b  22.0.1-20-g59bf897+c83a83e895            daf_base,log,daf_persistence,afw,utils,astro_metadata_translator,geom,daf_butler,pipe_base,skymap
verify                    d85a0f811d04e703e03eb14b0372ebd49f631ea5  22.0.1-9-gd85a0f8+7fc84e90e3             sconsUtils,utils,log,pex_config,daf_butler,pipe_base,dax_apdb,verify_metrics
ctrl_mpexec               72ab7db9fc674cb19a2cc0de4d7d323b1e682444  22.0.1-20-g72ab7db+66cf144eb4            daf_butler,obs_base,pex_config,pipe_base
meas_base                 7bffe73df2d24e9aa2ca24f1689d200c7e7f9423  22.0.1-17-g7bffe73+b7b66cef52            utils,geom,afw,skymap,coadd_utils,daf_base,sphgeom,pex_config,pipe_base,sconsUtils,cpputils
obs_test                  cb770ba17bd27ee60d264f4898b6824c59ccadf0  22.0.1-2-gcb770ba+5ee6261dad             afw,daf_base,obs_base,pex_config,utils,obs_test_data,pipe_base
ctrl_bps                  679a4d4b1f561c5625ae2dd30d169e5571a46e89  22.0.1-23-g679a4d4+f7243ccfdb            sconsUtils,utils,daf_butler,pipe_base,obs_base,ctrl_mpexec
meas_algorithms           c2439a9a9d13f0a5df103272d8c0c494f1b26150  22.0.1-23-gc2439a9a+86dfe50e11           astshim,daf_base,daf_persistence,geom,afw,log,meas_base,obs_test,pex_config,pex_exceptions,pipe_base,sconsUtils,utils,cpputils
meas_extensions_simpleShape 103fe59d6fb4b205824659e17fc403ca0e010cd7  22.0.0+a38f5ada56                        sconsUtils,base,afw,meas_base,utils,pex_config,pex_exceptions,geom
meas_extensions_trailedSources 72cdda83015c69adfe3a6a8bcbb69e0510785665  master-g72cdda8301+a38f5ada56            base,afw,geom,pex_config,utils,cpputils,meas_base
ip_isr                    32debb59f0dea745cff81d5941cecc2eb3f29313  22.0.1-20-g32debb5+f8d9d1c9c8            meas_algorithms,pipe_base,sconsUtils,afw,geom,utils,pex_exceptions
meas_astrom               86231057c279ff011c6c74e7215d50a016303371  22.0.1-4-g8623105+f8d9d1c9c8             geom,sphgeom,afw,log,meas_algorithms,pex_config,pipe_base,utils
meas_deblender            496fd5de666faf71a7cd38d9f2d8ed88f3154822  22.0.1-3-g496fd5d+f58732a4b4             afw,log,meas_algorithms,sconsUtils,utils,testdata_deblender
meas_extensions_photometryKron 7d6de66fda6eedba8c41e603cab268f569d41f0b  22.0.1-1-g7d6de66+f8d9d1c9c8             meas_base,meas_algorithms
