# product                 SHA1                                      Version                       
BUILD=b7195
afwdata                   725e1a43234eef83ff348e84759243951c3880a3  g725e1a4323                              
ap_verify_testdata        55ca4d23da9945f80e73d49af383b70f8a5ed24e  g55ca4d23da                              
fgcm                      e816547e51acd948104428d95fe2bb54497b606d  ge816547e51                              
kht                       afcb7142decdb77911b08be3ee495256b2f19ed3  gafcb7142de                              
obs_decam_data            9eeeb5e1744bf8adbf537d8090ce4329e9927f2a  g9eeeb5e174                              
obs_lsst_data             8f9f0f8de3ae8f22f4fb55cbfa3af28f8a640946  g8f9f0f8de3                              
obs_subaru_data           7ff78db35487d4e684a72e349abc7204559ea87b  g7ff78db354                              
proxmin                   33b4157f2516bd8c00926329f87583cee3ef3f95  g33b4157f25                              
sconsUtils                3bdf4f45719387c4d34f836231d2409a1bcdb130  g3bdf4f4571                              
sdm_schemas               a9dd054b7f6b5488fd1833544d90fc924250c434  ga9dd054b7f                              
testdata_cfht             fc909493914c3bdf2eb4eac6cef672d82640ae3f  gfc90949391                              
testdata_deblender        65c7540cb6befa417932f6e6b292228a31f4b6fd  g65c7540cb6                              
testdata_decam            fde10c3a1cfb39bba0e5005e956c4b2059c91370  gfde10c3a1c                              
testdata_jointcal         f1d4ecff8ca0ab0faa6be604b92c82554c5341ed  gf1d4ecff8c                              
testdata_subaru           03c3ee655a9f3a162a19b12d7ad201b6af0c1e33  g03c3ee655a                              
base                      52b1c1532d28dfffb4fd93f0b53c96773fdd144d  g52b1c1532d+b86e4b8053                   sconsUtils
dustmaps_cachedata        bb0a0c949e73ad2289341f9e0bf912c1e810fe45  gbb0a0c949e+b86e4b8053                   sconsUtils
jointcal_cholmod          81a980c3ddbbca861c73ffb98bce1fd1a391b2d6  g81a980c3dd+b86e4b8053                   sconsUtils
psfex                     7b9623be859eb100c82fc1dd773c529ffda28e97  g7b9623be85+b86e4b8053                   sconsUtils
scarlet                   87a95b57b95814ec999e56480d70d8b89d37f942  g87a95b57b9+4083830bf8                   proxmin
scarlet_lite              ae0086650b253f91ab2afe8f7ca66a353e2bb3cc  gae0086650b+b86e4b8053                   sconsUtils
sphgeom                   461a3dce891f982f582e43aa7c65fed4bd9dcf26  g461a3dce89+b86e4b8053                   sconsUtils
utils                     67fa8cf29087edc81061cf940ffe70e68baef4cd  g67fa8cf290+b86e4b8053                   sconsUtils
verify_metrics            c16d4156ef458992af24a32f70ae365005a9e6cc  gc16d4156ef+b86e4b8053                   sconsUtils
daf_relation              a4ab6e7db77901c17cd9067abbe9bf4bd7002a00  ga4ab6e7db7+c3cd773fe2                   sconsUtils,utils
felis                     6352b05c5c12ca878ff907db56ece57821ff8062  g6352b05c5c+c3cd773fe2                   sconsUtils,utils
log                       c2a6998b7e431f09e39d1d5b47b99a3842730742  gc2a6998b7e+c3cd773fe2                   sconsUtils,utils
pex_exceptions            daeeff99f8728ee92fda84cdea39102f76477f23  gdaeeff99f8+006e14e809                   base
resources                 4e95d5bda6606e8d16e1d6df376dd62dd1360dae  g4e95d5bda6+c3cd773fe2                   sconsUtils,utils
spectractor               931ce9906644459bfea30a049234e7a3b37aab38  g931ce99066+c3cd773fe2                   utils,utils
alert_packet              bcc3a36e4f666840ba6ad5393cef3ca78d0b3faa  gbcc3a36e4f+f5cc43fbf2                   resources,sdm_schemas
cpputils                  9ddcbc5298c854b26dfaaeba050c073e69d8e493  g9ddcbc5298+f24b38b85a                   base,pex_exceptions
daf_butler                fc5ae5158f476db7eb6e13313b095f3755ea07ab  gfc5ae5158f+93579cb785                   sphgeom,sconsUtils,utils,resources,daf_relation
astshim                   50ff169b8f0867ccc23ed438880676087a0cadeb  g50ff169b8f+f991eae79d                   sconsUtils,cpputils
daf_base                  b0e22166c9027d414ea9705899b5b01dfb55bee7  gb0e22166c9+907bb29ecb                   utils,cpputils,pex_exceptions,base
geom                      a1e77700b36a2b3767729a3fc699276ea1d2007d  ga1e77700b3+90cfe334c1                   sconsUtils,sphgeom,pex_exceptions,utils,cpputils
astro_metadata_translator 46847677d4ed420b9b3d83ff2251a8af81365797  g46847677d4+c086b01567                   sconsUtils,daf_base
gbdes                     73f919205b0b835fb292f5e8d6341b80306ba16e  g73f919205b+c876017880                   astshim
pex_config                fbcc870c63dd89b2ad931dd6d32d090ba491daa1  gfbcc870c63+c086b01567                   daf_base
afw                       990b35512c4f92877fe6669253425d1c7cd176af  g990b35512c+03bd065f16                   daf_base,pex_config,geom,log,sphgeom,utils,astshim,base,cpputils,afwdata
