# product                 SHA1                                      Version                       
BUILD=b4502
xpa                       eb35b1105c2a44557af660104f2807e2b28255dd  2.1.15.lsst3                             
starlink_ast              d6cc4e835a9437c4b59277a244e876fd49850cad  lsst-dev-gd6cc4e835a                     
mpich                     39a8536fa6b7e33f4d775c6dc3b59a3d0bf04cb0  3.2.1                                    
minuit2                   dae2fb72f087c8d6dd1c4e0cfe8a828920f3412e  5.34.14                                  
testdata_deblender        76d7dc3446bdd13dbec01f3aa48771848b22ce3c  16.0                                     
obs_lsst_data             ff894085696836c9fb09a023e04c41019f52cfb1  master-gff89408569                       
apr                       39b3212aa46217e4f485b02496381907da8b8d7a  1.5.2                                    
testdata_cfht             2bee09ef6fe206c85ef4c504c2f14afeef4acdd0  14.0                                     
eigen                     221959b4fc8e4e2496cfbc875b457c3cf0f153d7  3.3.7                                    
obs_test_data             b4dcb135d7fe475262c0b982b6f574d74ef90754  master-gb4dcb135d7                       
mpi                       6f350834c9ad5859cb069326232a27cdc6cfe17d  0.0.1+3                                  mpich
cfitsio                   fc68e3c458900712f0b7938936ce70f46fa4ba7f  3360.lsst6                               
obs_subaru_data           6aee438b98a0c2b003dc69ddef7706cdb2abf0e8  master-g6aee438b98                       
gsl                       d1efc244ff2983d796a7f7bd2e0a89264f393b35  2.6                                      
doxygen                   524ee4ee18a8ea2be55a677f925dc1f92df1e323  1.8.13.lsst3                             
python                    85c3855c56fdbd3304bda946ee9f0899487c30f6  3.7                                      
ws4py                     5ea348065392f65a2029e86483a6abca75117cd5  0.4.2+5                                  python
requests                  83cdaf189ad5e7f0f7805ba3104f4cf0c748d363  2.9.1.lsst1+6                            python
obs_decam_data            608677b38e11754a76534dda2db05f5f7911ef80  master-g608677b38e                       
apr_util                  78a90a1243a24ee961222bffa4b07d9033307fe4  1.5.4.lsst1                              apr
mpi4py                    6d58a4408de3db3b871438934ccb1bbc70c6a6f9  3.0.0+2                                  python,mpi
python_future             d45cc88dd170528ba3a61171a8a8f6eedd0d4fdc  0.16.0+5                                 python
testdata_subaru           095be34edd615fa0c9837435b2cbb58cd5080f14  18.1.0-1-g095be34                        
testdata_decam            0927df50e658bd74c7ca04e628220801769371b1  18.1.0-1-g0927df5                        
fftw                      30c2cc419e7200314efbef8d0c432ac11e9d41be  3.3.4.lsst2                              
