# product                 SHA1                                      Version                       
BUILD=b2940
cfitsio                   b56ecf282e296255677bc23bc742639d726270fa  3360.lsst4                               
minuit2                   dae2fb72f087c8d6dd1c4e0cfe8a828920f3412e  5.34.14                                  
eigen                     f9ab3d1eb4897e8741c1f5b1fd23413ef5055c5d  3.2.5.lsst2                              
apr                       39b3212aa46217e4f485b02496381907da8b8d7a  1.5.2                                    
swig                      bd8facb3e1fd5a433cb913c3f6e7f2c1f3d60dd5  3.0.10                                   
mariadbclient             ab9738f6e58fcd59008060fdfd96661bc8f584c8  10.1.21.lsst1                            
starlink_ast              15e40b9802a78d7357a5299a5e31b496d4f1e238  lsst-dev-g15e40b9802                     
doxygen                   323f9952c1e0db0fb8ebb0317f69d4019bd38d88  1.8.5.lsst1                              
libyaml                   fe04f4f6ffde41f44bfec6c6950136b4d224c8c9  0.1.7                                    
wcslib                    373bd44add489cc091272d3393ae8d9857bcd34d  5.13.lsst1                               cfitsio
fftw                      30c2cc419e7200314efbef8d0c432ac11e9d41be  3.3.4.lsst2                              
python                    8205f36db1fd6c18f0455c8c3da620d2f7b7d479  0.0.6                                    
python_d2to1              1893c8d187b8f73cc91f0cf6c97564d1635934a0  0.2.12.lsst2+1                           python
pybind11                  6f4b1f770b8936bc6486c1fa7907d3d5ef214f8e  master-g6f4b1f770b                       
numpy                     c1bdd73fbef02df5b68128b4c309be514756acb9  0.0.3+1                                  python
gsl                       a5b7ea77e0be9d4f91e1a71ec7b08db0bdbf6e58  1.16.lsst3                               
astrometry_net            614c69fbd662f97a354ed1e69cc46b2c82f552a8  0.67.123ff3e.lsst1+1                     cfitsio,wcslib,gsl,numpy
apr_util                  45d74ccc249484be4fdba93fe2f66aafb5869335  1.5.4                                    apr
sqlalchemy                af5a1cb44943d13994e80302426225e7069d8ed6  1.0.8.lsst3+3                            python
python_future             d45cc88dd170528ba3a61171a8a8f6eedd0d4fdc  0.16.0                                   python
marshmallow               49b1716604771ccfdbda5a0011d97d8152aa7da9  2.13.5                                   python
python_psutil             11e66a19cedecba67caa0c08675b630e3806927a  4.1.0+3                                  python
matplotlib                d202e908f28541deeeb861c2b656d9d3f900db10  0.0.4                                    python,numpy
astropy                   47e80e26de26053521c607df82a3a4512572362b  0.0.1.lsst2+2                            python
python_mysqlclient        945460320056625993eb4e3de872c3f74db17537  1.3.7.lsst1+8                            python,mariadbclient
pyyaml                    6ae2b7ae50740b596b6a8776aa9d94253a8f7c24  3.11.lsst1-2-g6ae2b7a                    python,libyaml
pykg_config               b05b21c61a90f39eda4b18d505b9fe841ce5f178  1.3.0+1                                  python
healpy                    9cd97ef29430e2726f91482b83e132622762b0fd  1.10.3.lsst1                             python,numpy,pykg_config,cfitsio,astropy
flask                     f44895ae1750d69ddd6116721d00ec24477cf064  0.12                                     python
boost                     18cc8bacfbd8ac16a414ce6acb450e85ee174ca5  1.60.lsst1+1                             python
esutil                    49b0a12ac880c1b059d28c9f752fed0630ed2a12  0.6.0+1                                  python,numpy
stsci_distutils           4bba6935c89f769e59cec6780a68ba8509fccfb0  0.3.7.lsst1+2                            python_d2to1
scons                     28a8b6786a075b8eb74852989adbc6d2b6859815  2.5.0.lsst2+1                            python
scipy                     aedd72728b314c7adcb2bc108d85b02a75efc322  0.0.1.lsst1+3                            python,numpy
sconsUtils                a39c7633b892895662e57dc9e6691b07816e4d61  13.0-5-ga39c763                          scons,doxygen
log4cxx                   758b5a6065f42f957adbbc00074a300dac6131bc  0.10.0.lsst7                             apr,apr_util
lmfit                     0239b733156600f9ce4602ec7a1a266ee14856b0  0.9.3+4                                  python,numpy,scipy
base                      77abda39221a0fd057decb9d3e9fbb86ea64e63e  13.0-5-g77abda3+2                        sconsUtils,pybind11,python,python_future,doxygen
astrometry_net_data       eaffc02df2119a5f17862630057df8974f07ca23  10.0+94                                  sconsUtils
afwdata                   1546c47f6745f6df266a0b5d994facf44e9f631a  13.0-1-g1546c47+4                        sconsUtils
pex_exceptions            52a7baa2f82bd1e67b92fcfff02b44c319acf2d4  13.0-1-g52a7baa+7                        base,boost,pybind11,python,python_future
ndarray                   71f34fcbf18bac029ae810133b2bf16b16b7e149  1.3.0-2-g71f34fc+1                       boost,python,numpy,eigen,swig,pybind11,fftw
pyfits                    40c72f9bf25b2240d7b1b6b5b6547a451ab78a28  3.4.0+7                                  numpy,python_d2to1,stsci_distutils
astshim                   db514c45236672899c6744a1359fd387768d8ced  master-gdb514c4523                       sconsUtils,ndarray,numpy,starlink_ast,pybind11
dax_webservcommon         2722609b055ab7f42604f1b1b1409c1432f1be89  12.1-1-g2722609                          python,scons,sconsUtils
utils                     7b92220be8416b17b5f9e26c867eb66b0933119d  13.0-6-g7b92220                          base,pex_exceptions,boost,numpy,pybind11,python,python_psutil,python_future
log                       eef1ef2785e6c6693c8d650320b1891274f88401  13.0-6-geef1ef2+1                        boost,log4cxx,base,pybind11,python,sconsUtils,utils
geom                      4cdfb8d9bada718495719d3880ddb9b5e89eaddc  12.1+29                                  sconsUtils,python_future,utils
daf_base                  167564e618aea206892113b3ae4f3192a0092d48  13.0-2-g167564e+4                        utils,pex_exceptions,pybind11,python,numpy,python_future
db                        305c405993acf9f5290332dec8c99d853aebeff2  13.0-1-g305c405+5                        log,python,python_future,mariadbclient,python_mysqlclient,sconsUtils,sqlalchemy
dax_dbserv                c1d5c25d34b8077ab6549d47a50eeff2f046b97b  12.1-7-gc1d5c25                          dax_webservcommon,db,flask,log,python,python_mysqlclient,scons,sconsUtils,sqlalchemy
pex_policy                47a359cbccd4e3f51580cd0a7ea56e4d68d65593  13.0-1-g47a359c+8                        daf_base,utils,python_future,pybind11,python
pex_config                483026ce51faf46cc7d52dc866fe8fecb99c3985  13.0-2-g483026c+2                        daf_base,pex_policy,numpy,utils,python_future,pybind11,python
dax_metaserv              6e5c8e42d81c5395a63beebffec986374320c4c9  12.1-5-g6e5c8e4                          dax_webservcommon,db,flask,python,python_mysqlclient,scons,sconsUtils,sqlalchemy,marshmallow
daf_persistence           8cd6840716676cd1602d815ebf82cfee9e21c98b  13.0-20-g8cd6840                         log,mariadbclient,pex_policy,astropy,pyyaml,pybind11,python
afw                       8dc7972c19af55ab1bd4971056c8cca0aa1d88ea  13.0-72-g8dc7972                         daf_base,daf_persistence,pex_config,log,ndarray,cfitsio,wcslib,numpy,minuit2,eigen,gsl,fftw,utils,astropy,python_future,log,pybind11,astshim,pyfits,matplotlib,afwdata
skypix                    e22e12b93ce3a4b8e4c0e804e428c39c3ebee1f0  13.0+47                                  utils,pex_policy,geom,afw,python_future,sconsUtils
skymap                    d4595c55a59ea769ee0bdc5d55dc498e9819b97c  13.0-4-gd4595c5+6                        numpy,afw,healpy
obs_base                  157f4ba72acb16ef707d03cb4db6335d88b0051d  13.0-31-g157f4ba                         daf_base,log,pex_policy,daf_persistence,afw,skypix,pyfits,utils
obs_test                  bb93d41a826f70f947cd7b63bbee39efaa7cad5a  13.0-10-gbb93d41+3                       afw,daf_base,obs_base,pex_config,pex_policy,numpy,skypix,utils,python_future
pipe_base                 1c7d9c50a6cfc6cf5e66f39b3f7c4a71ab5ca09e  13.0-9-g1c7d9c5+8                        daf_persistence,log,pex_config,utils,afw,python_future,obs_test
coadd_utils               f5c5cedf8b11b3451bf294332e3a61655c63d654  13.0-2-gf5c5ced+25                       afw,log,pybind11,numpy,pex_config,pipe_base,scons,sconsUtils,utils,python_future,afwdata
coadd_chisquared          a4f5e85f51f2b10c2347f9eb961cb5bd5146645c  13.0-2-ga4f5e85+25                       coadd_utils,numpy,scons,sconsUtils,python_future,pybind11,afwdata
